No. 	English 	𒅴𒂠 (EME.ĜIR15)	Sumerian	Connections	Egyptian many variants	Akkadian SEM-PIE	Akkadian 
182	full 	𒈝??	éšša	"𒊺𒁍 	še-puˡ  πLUM "	𓏏 𓏏 𓏝, 𓏏 𓅱 𓏏 𓀾 𓏜  2. 𓎔 𓏛 𓅓		malû 
183	new 	𒉋	gibil ƒ	"𒉋 ≈ 𒉈 NE neo ""new"" новъ     𒉈 pir Swahili: -pya"	𓈖 𓌳 𓄿 𓅱 𓏏 𓏛, 𓌳 𓄿 𓅱 𓏮 𓏛, 𓌳 𓏏 𓏛		𒉋 (eššu) 
184	old 	𒌌,𒅆𒂠	ul, libir	ol’  ≈ œil  <  𓇋𓄿 hiero	𓇋𓄿, 𓇋𓄿𓅱𓏏𓀗  1. 𓎡 𓎛 𓎡 𓎛 𓀘  2. 𓇋𓇩 𓋴𓆰 𓏛  3. 𓈖𓐍𓐍		labru, 𒋗𒄄 (šību) 
185	good 	𒄭	dùg	gud	𓄤, 𓃀 𓄤, 𓃀 𓅱 𓄤 𓆑 𓂋, 𓄤 𓆑 𓂋		𒄭 (ṭābu) 
186	bad 	𒅆𒌨	hul	foul, evil	𓃀 𓇋 𓈖 𓅪,  𓈋 𓅪, 𓈋 𓅱 𓅪, 𓈋 𓏴 𓅪 3. 𓃛		𒅆𒌨 (lemnu) 
187	rotten 	𒇥,?	hab2, sungin	hab < •hrab 𓎛 𓍯 𓄿 𓐎 < σαπρός  <> to smell <> putrid	𓂝 𓍯 𓄿 𓐎 2. 𓎛 𓍯 𓄿 𓐎 		𒅆𒌨𒁶 (masku) 
188	dirty 	𒄫𒂖𒇲	pe-el-lá	palid پلید foul @ Pfuhl puercuᵃˡ бузр buzr бру́дны brut βρόμικος  бӏеха bˀexa ເປື້ອນ pư̄an	?		𒈬𒁍 ((w)aršu) 
189	straight 				𓂝 𓈎 𓄿 𓂭 𓂭 𓏜,   𓂸 𓏏𓌙 𓌙 𓏜		ešru 
190	round 	𒃻	ĝar, ninda	gyro  wind,round,nind 𓄲 𓈖 𓂻 𒁺	𓂧 𓃀 𓈖 𓂂 𓂻, 𓄲 𓂻, 𓄲 𓈖 𓂻, 𓄷 𓈖 𓂻, 𓄲 𓇉 𓊗 𓏤 𓏤 𓏤 𓏤, 𓐪 𓂧 𓏌 𓂻, 𓐪 𓂧 𓏌 𓏛		kippatu 
191	sharp (as a knife) 	"𒆠𒅗𒄯𒊏	"	ki-zu₂ur₅-ra kizurra	scissor	𓂧, 𓇮 𓏜, 𓋴 𓊪 𓂧 𓇮, 𓋴 𓇮 𓂧 𓌪   2.  𓂧 𓐝 𓌪 𓂡, 𓅓 𓂠 𓂧 𓊃𓏛, 𓅓 𓂧 𓋴𓌪, 𓆓 𓏏 𓌪, 𓇮 𓏜		šēlu 
192	dull (as a knife) 				𓈖𓆓 𓋴 𓅪, 𓅪		
193	smooth 				𓋴𓈖𓂝 𓂝 𓏞 𓏛, 𓋴𓌢 𓂝 𓂝 2. 𓇋 𓂧 𓄿, 𓏞 𓏛		
194	wet 	𒁻	lah	𒁻 RE7 𒁺 RE6 רטוב ratóv	𓈖 𓊪 𓅯 𓈗  nass 		raṭbu 
195	dry 	?	háda	𒌓ah₃.utu 𓇶 𒂟	𓋴 𓆄 𓅱𓇳, 𓆄 𓅱𓇳 2. 𓇶 3. 𓅱𓈙 𓂋 𓇳 4. 𓋴𓏲 𓈙 𓂋 𓇳, 𓇶,  5. 𓐍 𓅓 𓊡		ablu 
196	correct 	𒄀𒈾	gi-na	genau!	𓂝 𓈎 𓄿 𓇋 𓇋 𓏏 𓂭 𓂭 𓏜 2. 𓆄, 𓁦, 𓆄𓆄 𓏏 𓏤, 𓌷 𓂝 𓏏𓆄 𓏛 𓏥		damqu 
197	near 	𒁕	da	da, dort, at	𓐍 𓂋  2.  𓂋 𓉔 𓅱𓏥, 𓂋 𓏤 𓂝 𓏤,  3. 𓍚 𓅱𓂻 𓆑  4. 𓏏 𓎡 𓈖𓂻		𒋼 (ṭexû) 
198	far 	𒋫,𒋤	ta, sud	PIE to- *tāli- *toli- dura دور дур  𒋤 sur хара sehr შორეული šoreuli հեռավոր heṙavor	𓍯 𓄿 𓀜, 𓍯 𓄿 𓈐, 𓍯 𓈐,   3. 𓎛 𓁷 𓂋 𓈐		nešû 
199	right 	𒍥𒁕	zi-da	सिद्ध  सीधा sīdhā •zirda 𓋀 𓂢 •sirda straight ὀρθός  gerade geright suora тура tura 	𓇋 𓏠 𓈖𓊿,  𓋀 𓂢  2. 𓊿  3.  𓋀 𓂢,  𓅆 𓏏𓏮		𒍠 (imittu) 
200	left 	𒇷𒁍	gùb-bu	𒆏 GÚB 𓎼𓄿𓃀𓂢 𒆏𒁍 kappu carpe  [[grab]] çep чап čap  @ Turk 𒆎 *gippala@Hittite 	𓋁, 𓋁 𓃀, 𓋁 𓃀 𓏏𓏮 𓈇,  𓋁 𓃀 𓏮 𓂢, 𓍋 𓃀 𓏮 𓂢  2. 𓏏 𓋁 𓏮		𒆏𒁍 (šumēlu) 
201	at 	𒁕	da	ada, da, dort	𓂋, 𓁷 𓏤, 𓌨 𓂋		
202	in 	𒀀,?	a, andan	à, ə! Into!	𓈖		ina 
203	with 	𒃰	gada	co'add :	𓎛 𓈖𓂝  2. 𓐍 𓂋, 𓁷 𓏤, 𓐍 𓏏 𓆑		
204	and 	𒂵	ga	ⲕⲉ ⲕⲁⲓ, que, gar, 𓐍 𓂋 𓀒 kar, gam, com!	𓎛 𓈖𓂝  2. 𓐍 𓂋 𓀒		u 
205	if 	𒋗𒃻𒌉𒇲, 𒈜𒁆𒋗𒃻𒌉𒇲, 𒌓	tukum, tukumbi, ud 	sei gar dem à, what (if)	𓇋𓂋		šumma 
206	because 	𒈬	mu	mean… meaning 𓈖𓏮𓁻 nam nämlich :	𓁷, 𓁷 𓏤, 𓂋 𓁻, 𓈖𓈖𓏏𓏏, 𓈖𓏮		aššum 
207	name 	𒈬	mu	(na)mu	𓂋𓈖𓀁, 𓂋𓈖𓍷		𒈬 (šumu) 
