 № 	English 	Arabic 	Hebrew 	Syriac 	Akkadian 	Ge'ez 	Coptic 	Tarifiyt Berber 	Hausa 	Oromo (Wallagga) 	Somali
189 	straight 	مُسْتَقِيم‎ (mustaqīm) 	יָשָׁר‎ (yâšâr) 	ܬܪܝܨܐ‎ (trīṣâ) 	ešru 		ⲥⲟⲩⲧⲱⲙ (sutom) 	nišan ( < Ar.) 			toos, turuus
190 	round 	مُسْتَدِير‎ (mustadīr) 	עָגֹל‎ (ʿâğul) 	ܚܘܕܪܢܝܐ‎ (ħuðrânâyâ) 	kippatu 			aquřay 			wareeg
191 	sharp 	حَادّ‎ (ḥādd) 	חַד‎ (ħað) 	ܚܪܝܦܐ‎ (ħarrifâ) 	šēlu 			qđ’əʕ ( < Ar.) 			afle
192 	dull 	ثَلِم‎ (ṯalim) 	קֵהֶה‎ (qêhe) 	ܩܗܝܐ‎ (qahyâ) 							damiin
193 	smooth 	نَاعِم‎ (nāʿim) 	חָלָק‎ (ħâlâq) 	ܦܫܝܩܐ‎ (pšīqâ) 			ⲗⲉⲕⲗⲱⲕ (leklok) 	ařəqqaɣ 			dabac
194 	wet 	رَطْب‎ (raṭb) 	רָטֹב‎ (râṭōv), רָטוּב‎ (râṭūv) 	ܪܛܝܒܐ‎ (raṭṭīvâ), ܬܠܝܠܐ‎ (tallīlâ) 	raṭbu 		ϩⲟⲣⲡ (horp) 	uff 		jiid'aa 	qoyan
195 	dry 	جَافّ‎ (jāff), يَابِس‎ (yābis) 	יָבֵשׁ‎ (yâvêš) 	ܝܒܝܫܐ‎ (yabbīšâ) 	ablu 		ⲃⲟⲥⲧ (vost) 	azəɣ 			qallal, engag
196 	correct 	صَحِيح‎ (ṣaḥīḥ) 	נָכוֹן‎ (nâxōn) 	ܬܪܝܨܐ‎ (trīṣâ) 	damqu 	ራትዕ (ratʿ) 	ⲥⲟⲟϩⲉ (so'ohe) 	nišan ( < Ar.) 			saxan, toosan
197 	near 	قَرِيب‎ (qarīb) 	קָרוֹב‎ (qârōv) 	ܩܪܝܒܐ‎ (qarrīvâ) 	𒋼 (ṭexû) 		ϩⲏⲛ (hēn) 	ađəs 	kúsá 	d'i'oo 	dhow
198 	far 	بَعِيد‎ (baʿīd) 	רָחוֹק‎ (râħōq) 	ܪܚܝܩܐ‎ (raħħīqâ) 	nešû 	ርሑቅ (rəħuq) 	ⲟⲩⲉ (we) 	ggwəž 	níisá 	fagoo 	fag
199 	right 	يَمِين‎ (yamīn) 	יָמִין‎ (yâmīn) 	ܝܡܝܢܐ‎ (yammīnâ) 	𒍠 (imittu) 	የመን (yaman) 	ⲟⲩⲛⲁⲙ (unam) 	afusi, yəffus 	dáamá 	mirga 	midig
200 	left 	شِمَال‎ (šimāl), يَسَار‎ (yasār) 	שְׂמֹאל‎ (ś'mōl) 	ܣܡܠܐ‎ (semmâlâ) 	𒆏𒁍 (šumēlu) 	ጸጋም (ṣagām) 	ϩⲃⲟⲩⲣ (hvur) 	az’əřmađ’, z’əřməđ’ 	hágú 	bitaa 	bidix, gur
201 	at 	عِنْدَ‎ (ʿinda) 	בְּ־‎ (b'-) 	ܒ-‎ (b-/ba-), ܠܘܬ‎ (lwâθ) 				ɣā 			ag
202 	in 	فِي‎ (fī), بِ‎ (bi-) 	בְּ־‎ (b'-) 	ܒ-‎ (b-/ba-) 	ina 	በ (ba-) 					ku..
203 	with 	مَعَ‎ (maʿa), بِ‎ (bi-) 	אֵת‎ (ʾêθ), בְּ־‎ (b'-), עִם‎ (ʿim) 	ܥܡ‎ (ʿam), ܒ-‎ (b-/ba-) 			ⲙⲛ (mn) 	akəđ 			la
204 	and 	وَ‎ (wa-) 	וְ־‎‎ (w'-) 	ܘ-‎ (w-/wa-) 	u 		ⲁⲩⲱ (auo) 	đ 			oo, iyo
205 	if 	لَوْ‎ (law), إِذَا‎ (ʾiḏā), إِن‎ (ʾin) 	אִם‎ (ʾim) 	ܐܢ‎ (ʾen) 	šumma 			mařa 			haddii, lacalla
206 	because 	بِسَبَبِ‎ (bisababi), لِأَنَّ‎ (liʾanna) 	בִּגְלַל‎ (biğlal), מִפְּנֵי‎ (mipp'nê) 	-ܡܛܠ ܕ‎ (meṭṭol d-/da-), ܒܥܠܬ‎ (bʿellaθ) 	aššum 			s minzi 			illeen, maxaayeelay
207 	name 	اِسْم‎ (ism) 	שֵׁם‎ (šêm) 	ܫܡܐ‎ (šmâ) 	𒈬 (šumu) 	ስም (səm) 	ⲣⲁⲛ (ran) 	isəm (< Ar.) 	súunáa 	maqaa 	magac
