 № 	English 	Arabic 	Hebrew 	Syriac 	Akkadian 	Ge'ez 	Coptic 	Tarifiyt Berber 	Hausa 	Oromo (Wallagga) 	Somali
29 	wide 	رَحْب‎ (raḥb), وَاسِع‎ (wāsiʿ) 	רָחָב‎ (râħâv) 	ܪܘܝܚܐ‎ (rwīxâ), ܦܬܝܐ‎ (paθyâ) 	rupšu 	ርሑብ (rəħub) 	ⲟⲩⲟⲥⲧⲛ (wostᵊn), ⲟⲩⲱϣⲥ (wōšᵊs) 	miriw 	mài fáaɗíi 	bal'aa, booccoo 	ballaadhan
30 	thick 	سَمِيك‎ (samīk) 	עָב‎ (ʿâv) 	ܥܒܝܛܐ‎ (ʿvīṭâ) 		ገዙፍ (gazuf) 	ⲟⲩⲙⲟⲧ (umot) 	gđā 	mài káuríi 		cufan
31 	heavy 	ثَقِيل‎ (ṯaqīl) 	כָּבֵד‎ (kâvéð) 	ܢܛܝܠܐ‎ (nṭīlâ), ܝܩܘܪܐ‎ (yaqqūrâ) 	kabtu 	ከቡድ (kabud) 	ϩⲣⲟϣ (hroš) 	đqəř (< Ar.) 	mài náuyíi 		culus
32 	small 	صَغِير‎ (ṣaḡīr) 	קָטָן‎ (qâṭân) 	ܙܥܘܪܐ‎ (zʿōrâ) 	ṭexru 	ንኡስ (nəʾus) 	ϣⲓⲣⲉ (širə) 	aməz’z’yan 	k'arami 		yar
33 	short 	قَصِير‎ (qaṣīr) 	קָצָר‎ (qâṣâr) 	ܟܪܝܐ‎ (karyâ) 	karû 	ኅጹር (ḫəṣur) 		aquđ’ađ’ 	guntu 		gaaban
34 	narrow 	ضَيِّق‎ (ḍayyiq) 	צַר‎ (ṣâr) 	ܥܝܝܩܐ‎ (ʿayyīqâ) 	qatnu 	ጸቢብ (ṣabib) 	ϫⲏⲧ (jēt) 	ħsā 	siriri 		ciriiri
35 	thin 	رَقِيق‎ (raqīq) 	דַּק‎ (daq) 	ܪܩܝܩܐ‎ (raqqīqâ), ܛܠܝܚܐ‎ (ṭlīħâ) 	qatnu 	ቀጢን (qaṭin), ደቂቅ (daqiq) 	ⲡⲁⲕⲉ (pakə) 	azđađ 	sìir̃íir̃ìi 		dhuuban
36 	woman 	اِمْرَأَة‎ (imraʾa), مَرْأَة‎ (marʾa) 	אִשָּׁה‎ (ʾiššâ) 	ܐܢܬܬܐ‎ (ʾa(n)tθâ) 	𒊩 (sinništu) 	ብእሲት (bəʾəsit) 	ⲥϩⲓⲙⲉ (s'himə) 	ŧamɣā’ŧ, ŧamət’t’uŧ 	màcè 		naag, dumar, haweeney, habar
37 	man (adult male) 	رَجُل‎ (rajul) 	אִישׁ‎ (ʾīš), גֶּבֶר‎ (gever) 	ܓܒܪܐ‎ (gavrâ) 	zikaru 	ብእሲ (bəʾəsi) 	ϩⲟⲟⲩⲧ (hout) 	āyaz 	námíjì 		rag
38 	man (human being) 	إِنْسَان‎ (ʾinsān) 	אָדָם‎ (ʾâðâm), אֱנוֹשׁ‎ (ʾənōš) 	ܐܢܫܐ‎ ((ʾə)nâšâ) 	awīlu 	ሰብእ (sabəʾ), ሰብኣዊ (sabʾāwi) 	ⲣⲱⲙⲉ (rōmə) 	ƀnađəm (< Ar.) 	mùtûm 	nama 	nin
39 	child 	وَلَد‎ (walad) 	יֶלֶד‎ (yeleð) 	ܝܠܘܕܐ‎ (yalluðâ) 	ṣexru, māru 	ሕፃን m (ħəḍān), ወልድ m (wald), ወለት f (walatt) 	ϣⲏⲣⲉ (šērə) 	aħənžia, řƀəz’z’ 	ɗáa, 'yáa 		cunug
40 	wife 	زَوْجَة‎ (zawja) 	אִשָּׁה‎ (ʾiššâ) 	ܐܢܬܬܐ‎ (ʾa(n)tθâ) 	aššatu 	ብእሲት (bəʾəsit) 	ⲥϩⲓⲙⲉ (s'himə) 	ŧamɣā’ŧ 	màatáa 		xaas, afo, oori
41 	husband 	بَعْل‎ (baʿl) زَوْج‎ (zawj) 	בַּעַל‎ (baʿal) 	ܒܥܠܐ‎ (baʿlâ) 	mutu 	ምት (mət), በዓል (baʿāl) 	ϩⲁⲓ (hai) 	āyaz 	míjìi 		sey
42 	mother 	أُمّ‎ (ʾumm) 	אֵם‎ (ʾêm) 	ܐܡܐ‎ (ʾemmâ) 	ummu 	እም (ʾəmm) 	ⲙⲁⲁⲩ (maʾau) 	yəmma (< Ar.?) 	úwáa 		hooyo
43 	father 	أَب‎ (ʾab) 	אָב‎ (ʿâv) 	ܐܒܐ‎ (ʾavâ) 	abu 	አብ (ʾab) 	ⲉⲓⲱⲧ (iōt) 	ƀaƀa (< Ar.?) 	ùbáa 		aabbe
44 	animal 	حَيَوَان‎ (ḥayawān) 	חַיָּה‎ (ħayyâ) 	ܚܝܘܬܐ‎ (ħaywθâ) 	būlu, emāmu 	አርዌ (ʾarwe) 	ⲧⲃⲛⲏ (tᵊvnē) 	lħayawan (< Ar.) 	dábbàa (< Ar.?) 		xaywaan
45 	fish 	سَمَكَة‎ (samaka) 	דָּג‎ (dâğ) 	ܢܘܢܐ‎ (nūnâ) 	𒄩 (nūnu) 	ዓሣ (ʿāśā) 	ⲧⲃⲧ (tᵊvt) 	asřəm 	kíifíi 	qurt'ummii 	kalluun, mallaay
46 	bird 	طَائِر‎ (ṭāʾir), عُصْفُور‎ (ʿuṣfūr) 	צִפּוֹר‎ (ṣippōr), עוֹף‎ (ʿōf) 	ܛܝܪܐ‎ (ṭayrâ), ܨܦܪܐ‎ (ṣepprâ) 	𒄷 (iṣṣūru) 	ዖፍ (ʿof) 	ϩⲁⲗⲏⲧ (halēt) 	ažđ’iđ’ 	tsúntsúu 	c'irrii 	shimbir
47 	dog 	كَلْب‎ (kalb) 	כֶּלֶב‎ (kelev) 	ܟܠܒܐ‎ (kalbâ) 	𒌨𒌆 (kalbu) 	ከልብ (kalb) 	ⲟⲩϩⲟⲣ (uhor) 	ayđi, aqzin, ahəggā 	kàrée 	saree 	ey
48 	louse 	قَمْلَة‎ (qamla) 	כִּנָּה‎ (kinnâ) 	ܩܠܡܐ‎ (qalmâ) 	𒄴 (uplu) 	ቍማል (qʷəmāl) 	ϩⲗⲱⲙ (hlōm) 	ŧiššəšŧ (head), infā (body) 	kwàlkwátàa (head), kwàr̃kwátàa (body) 	c'inii, injiraan, injijii 	injir
49 	snake 	حَنَش‎ (ḥanaš) 	נָחָשׁ‎ (nâħâš) 	ܚܘܝܐ‎ (ħewyâ) 	ṣēru 	አርዌ ምድር (ʾarwe mədr), ተመን (taman) 	ϩⲟϥ (hof) 	fiɣā’, ŧařəfsa 	mácìijíi 	mar'ataa, bofa, šaawwisa 	mas
50 	worm 	دُودَة‎ (dūda) 	תּוֹלַעַת‎ (tólaʿat) 	ܬܘܠܥܐ‎ (tawlʿâ) 		ዕፄ (ʿəḍe) 	ϥⲛⲧ (fᵊnt) 	ađan n tmuaŧ 	tsúutsàa 		dixiri, gooryaan
51 	tree 	شَجَرَة‎ (šajara) 	עֵץ‎ (ʿēṣ) 	ܐܝܠܢܐ‎ (ʾīlânâ) 	𒄑 (iṣu) 	ዕጽ (ʿəṣ) 	ϣⲏⲛ (šēn) 	ssəžžāŧ (< Ar.) 	ítàacée 	muka 	geed
52 	forest 	غَابَة‎ (ḡāba) 	יַעַר‎ (yaʿar) 	ܥܒܐ‎ (ʿâvâ) 	gūru 	ዖም (ʿom) 		řɣaƀəŧ (< Ar.) 	dáajìi 	baqqoo, daggala 	kayn, duur
53 	stick 	عَصًا‎ (ʿaṣan) 	מַקֵּל‎ (maqqēl) 	ܩܝܣܐ‎ (qaysâ) 		ቀስተም (qastam), መቅርዕ (maqrəʿ) 			Sanada 		ul
54 	fruit 	فَاكِهَة‎ (fākiha) 	פְּרִי‎ (p'rī) 	ܦܐܪܐ‎ (pêrâ) 	inbu 	ፍሬ (fəré) 	ⲟⲩⲧⲁϩ (utah) 	řxuđ’āŧ (< Ar.) 	’yár̃ ítàacée 	ija 	miro
55 	seed 	زَرْع‎ (zarʿ) 	זֶרַע‎ (zeraʿ) 	ܙܪܥܐ‎ (zarʿâ) 	𒆰 (zēru) 	ዘርአ (zarʾ), ብዝር (bəzr) 	ϭⲣⲟϭ (kʲrokʲ), ϫⲣⲟϫ (jroj) 	řħəbb (< Ar.) 	írìi (< Kanuri?) 	garii, saññii 	iniin, abuur
56 	leaf 	وَرَقَة‎ (waraqa) 	עָלֶה‎ (ʿâle) 	ܛܪܦܐ‎ (ṭarpâ) 	ḫasḫaltu 	ቈጽል (qʷaṣl) 	ϭⲱⲱⲃⲉ (kʲō'ōvə) 	ŧifāšŧ 	gányée 	baala 	caleen
