№ 	English 	PIE		Sanskrit 	Pali 	Hindi 	Urdu 	Nepali 	Punjabi 	Gujarati 	Marathi 	Assamese 	Bengali 	Kashmiri 	Sindhi 	Sinhalese 	Romani 
70	feather 	fe’ar pôr  parṇá pank wing	+<	parṇá 		pankh 			ਪੰਤ (pant 	pī̃chũ 	paṅkh 	pakhi 	pôr 				por 
71	hair 	wall, ball, bold –	<	kéśa 		bāl 			vāl 	vāḷ 	kes 	suli 	cul 				bal 
72	head 	Sir!!! Matthe, Kopp	++	śíras, kapāla 		sar, sir 			sir 	māthũ 	ḍoke 	mur 	matha 				shero 
73	ear 	kearn! Kárṇa +++ Korn-ähre	+<	kárṇa 		kān 			kann 	kān 	kān 	kan 	kan 				kan 
74	eye 	okul, aughe ++	++	ákṣi 		ā̃kh 			akkha 	ā̃kh 	ḍoḷā 	soku 	cokh 				jakh 
75	nose 	nā́sā nak!	++	nā́sā 		nāk 			nakka 	nāk 	nāk 	nak 	nak 				nakh 
76	mouth 	mūNh mõ, mukh	++	vaktra, múkha 		muṃh 			mūNh 	mõ, mukh 	toṇḍ, mukh 	mukh 	mukh 				muj 
77	tooth 	dent	++	dánta 		dānt 			dand 	dā̃t 	dāt 	dat 	daṁtô 				dand 
78	tongue (organ) 	<<<		jihvā́ 		jībh 			jībh 	jībh 	jībh 	zibha 	jibh, jihba 				shib 
79	fingernail 	naṅgal  nakhá[l]  +++	++	nakhá 		nākhun 			naṅgal 	nakh 	nakh 	nokh as 	nôkh 				vundya 
80	foot 	Pair +++++ pañjo bein	++	padá 		pair 			pēr 	pagno pañjo 	pāūl 	bhori 	pa 				punro 
81	leg 	pa^^  jáṅgha jomb! ++ <<<>>>	++ <	jáṅgha 		ṭang 			latta 	pag 	pāy 	bhori, theng 	pa 				fujeri 
82	knee 	jā́nu , ghū̃ṭaṇgle	++ <	jā́nu 		ghuṭnā 			[[ਗੋਡੇ|goḍe] 	ghū̃ṭaṇ 	guḍghā 	athu 	haṁṭu 				chang 
83	hand 	Hāth ++	++	hásta 		hāth 			hattha 	hāth 	hāt 	hat 	hat 				vast 
84	wing 	<> feather: pankha winga!	^^	pakṣá 		pankh 			pakkha 	pā̃kh 	paṅkh 	deuka, pakhi 	pakha 				phak 
85	belly 	Pot=belly <> button@Sem	++	udára 		peṭ 			ḍhiḍḍa 	peṭ 	poṭ 	pet 	peṭ 				per 
86	guts 	intra	++	antra 		antaṛī 			himmat 	āntarḍā 	dhairya 	nari 	bhuṛi 				porr 
87	neck 	<<<		gala, grīvā́ 		gardan 			gardan 	gaḷũ 	gaḷā 	dingi 	gôla 				korr 
88	back 	<<<		pṛṣṭhá 		pīṭh 			vāpas 	pīṭh 	parat 	pithi 	piṭh 				dumo 
89	breast 	@cat?		stána 		chātī 			chātī 	chātī 	stan 	piha 	buk 				chuchi 
90	heart 	Hṛdaya , hrudya <> rot	++	hṛdaya 		dil 			dil 	hrudya 	hruday 	hia, koliza, amothu 	hridyô 				jilo 
91	liver 	<> jive=live	+>	yákṛt 		jigar, yákṛt 			[[ਜਿਗਰ|jigar] 	yakrut, kāḷjũ 	yakrut 	koliza, zokrit as 	kôlje 				puko 
92	to drink 	Beber / boire / pīnā 	++	píbati 		pīnā 			pīṇā 	pīvũ 	piṇe 	khüa, pia 	pan 				pijel 
93	to eat 	khādati, átti 	++	khādati, átti 		khānā 			khāṇā 	khāvũ 	khāṇe 	khüa 	khaoya 				xal 
94	to bite 	backe, kammer !?		dáśati 		kāṭnā 			[[ਵੱਢਣਾ|vaḍḍhaṇā] 	backũ, bharvũ 	cāvṇe 	kamüra 	kamṛano 				dindalel 
95	to suck 			dháyati 		cũsnā 			[[ਚੂਸਣਾ|cūsṇā] 	cūsvũ 	cokhṇe 	supa, <suha 	coṣa 				chuchi pel 
96	to spit 			ṣṭhī́vati 		thũknā 			[[ਥੁੱਕਣਾ|thukkaṇā] 	thū̃kvũ 	thuṅkṇe 	thu pelüa 	chjap, thutu 				shungardel 
97	to vomit 			vámati 		ulṭī karnā 			ulṭī karnā 	ulṭī 	ulṭī karṇe 	bomi kora 	bômi 				shandel 
98	to blow 	Phuṅkṇe!!! wink, wind, vā́ti 	++	vā́ti 		phūnknā 			phūkṇā 	phū̃kvũ 	phuṅkṇe 	[[]] 	phuṁ dettya 				phurdel 
99	to breathe 			ániti 		sāṃs lenā 			sāh lēṇā 	śvasvũ 	śvās gheṇe 	uxah lüa 	śbas neoya 				sufla lel 
100	to laugh 	Hoha;) …?	;)	smáyate, hásati 		hāṃsnā 			hassaṇā 	hasvũ 	hasṇe 	hoha 	hasa 				assal 
101	to see 	páśyati phot-seeya! <<<	<<	páśyati (pres.), dṛś- 		dekhnā 			vekhṇā 	jovũ 	pāhṇe 	dekha 	dekha 				dikhel 
102	to hear 	sinne! 𓋴 𓅓 𓄔 sense sonar	++	śṛṇóti 		sunnā 			suṇnā 	sā̃bhaḷvũ 	aikṇe 	xuna 	śona 				ashunel 
103	to know 	jānā́ti ~ gnosti	<<	jānā́ti 		jānnā 			jāṇnā 	jāṇvũ 	māhit asṇe 	zona 	jana 				zhanel 
104	to think 	mind, wissar, …?		manyate, cintayati 		socnā 			socṇā) 	vicārvũ 	vicār karṇe 	bhoba 	bhaba 				gindil 
105	to smell 	sūnghnāell 	~;)	jíghrati 		sūnghnā 			suṅghṇā 	suṅghvũ 	gandh karṇe 	xunga 	śoṁka 				sungal 
106	to fear 	bibber, dare!		bibhéti 		ḍarnā 			ḍarnā 	ḍarvũ 	ghābarṇe 	bhoy khüa 	bhôyô kôra, ḍôra 				daral 
107	to sleep 	somna	++	svápiti 		sonā 			sauṇā 	ū̃ghvũ 	jhopṇe 	xüa 	ghuma 				sovel 
108	to live 	jive june yyve live	++	jī́vati 		jīnā 			jiūṇā 	jīvvũ 	jagṇe 	thoka, ziai thoka 	baṁca 				zhuvel 
109	to die 	mourne, morat	++	mriyáte 		marnā 			marnā 	marvũ 	marṇe 	mora 	môra 				merel 
110	to kill 	morden hunt << hit 110!	++	hánti 		mārnā 			mārnā 	mārvũ 	mārṇe 	mara 	mara, mere phela 				mudarel 
111	to fight 			yúdhyate 		laṛnā 			laṛnā 	laḍvũ 	laḍhṇe 	kazia loga 	lôṛa 				marel 
112	to hunt 			veti 		shikār karnā 			ṭolṇā 	śikār karvo 	śodhāśodh karṇe 	sikar kora 	sikar kôra 				mudarel 
113	to hit 	hunt, morden!!	++	hánti, tāḍáyati 		mārnā 			jaṛnā 	ṭhokvũ 	mārṇe 	khunda 	mara 				chalavel 
114	to cut 	kaṭṭaṇā kappen	++	kṛntáti 		kāṭnā 			kaṭṭaṇā 	kāpvũ 	kāpṇe 	kota 	kaṭa 				shinel 
115	to split 	bin2	+?	bhinátti 		baṇṭnā 			pāṛnā 	bhāgvũ 	vibhājit karṇe 	dubhag kora 	bibhôkt kôra 				pharravel 
116	to stab 	--		vídhyati 		bhonknā 			khobhṇā 	bhoṅkvũ 	bhosakṇe 	hana, khusa 	chora mara 				pusavel 
117	to scratch 	~kharoncnā 		likháti 		kharoncnā 			gharūṇḍṇā 	khaṇvũ 	orbāḍṇe 	asüra 	khamcano 				xarundel 
118	to dig 	<cut		khánati 		khodnā 			puṭṭaṇā 	khodvũ 	khodṇe 	khonda 	khoṁṛa 				hunavel 
119	to swim 	pleuve turn@terr𓇾 	?	plávate 		tairnā 			tērnā 	tarvũ 	pohṇe 	xatura 	saṁtôrano 				plemel 
120	to fly 	<> feather?	^^	pátati 		uṛnā 			uḍḍaṇā 	uḍvũ 	uḍṇe 	ura as 	oṛa 				ural 
121	to walk 	turn, churry, curier	~~	éti, gácchati, carati 		calnā 			turnā 	cālvũ 	cālṇe 	khüz korha 	haṁṭa 				phirel 
122	to come 	an-(kommen/goto)	~~	ā́gacchati 		ānā 			āuṇā 	āvvũ 	yeṇe 	oha 	asa 				avel 
123	to lie (as in a bed) 	sedate, lethal<>lait-faire	++	śéte 		leṭnā 			leṭṇā, pēṇā 	suvũ 	jhopū karṇe 	bagora 	śoya 				pashlyol 
124	to sit 	sī́dati Bett!!! <<<	++	sī́dati 		baiṭhnā 			bahiṇā 	besvũ 	basṇe 	boha 	bôsa 				beshel 
125	to stand 	Tísh - ṣṭhati 	++ <<	tíṣṭhati 		khaṛā honā 			khaṛhnā 	ūbhvũ 	ubhe rāhṇe 	thio hüa 	daṁṛano 				tordyol 
126	to turn (intransitive) 	wart>wend Muṛnā  <> hit/die!?	<?	vártate 		muṛnā 			muṛnā 	vāḷvũ 	cālū karṇe 	pak mara 	ghora 				boldel 
127	to fall 	@Boden 𓐍 𓂋 𓀒 	+++	pádyate 		girnā 			ḍiggaṇā 	paḍvũ 	paḍṇe 	pora 	pôṛa 				perel 
128	to give 	Dadar / don™ ++	++	dádāti 		denā 			deṇā 	āpvũ 	deṇe 	dia 	dettya 				del 
129	to hold 	park dar™	+<	dhárati 		pakaṛnā 			phaṛnā 	pakaḍvũ 	ṭhevṇe 	dhora 	dhôra 				xutyilel 
130	to squeeze 			mṛdnā́ti 		ghusā denā 			nacoṛnā 	nīcovvũ 	dābṇe 	hesa, sepa 	cepô- 				kikidel 
131	to rub 			ghárṣati 		malnā 			maḷnā 	ghasvũ 	ghāsṇe 	lara 	ghôṣa 				morel 
132	to wash 			kṣā́layati 		dhonā 			dhoṇā 	dhovũ 	dhuṇe 	dhüa 	dhoya 				thovel 
133	to wipe 			mā́rṣṭi 		poṃchnā 			hūñjhṇā 	lūchvũ 	pusṇe 	müsa as 	mocha 				khosel 
134	to pull 	<<< tensio 𓇋 𓏏 𓎛 𓍕		kárṣati 		khīṃcnā 			khiccaṇā 	kheñcvũ 	[[खेचणे|khecṇe) 	tona 	ṭana 				cirdel 
135	to push 	decken:)		nudáti 		dhakkā denā 			dhakkaṇā 	dhakko mārvo 	ḍhakalṇe 	thela 	ṭhela 				pizdel 
136	to throw 			kṣipáti 		phenknā 			suṭṭaṇā 	pheṅkvũ 	phekṇe 	doliüa 	phela 				shudel 
137	to tie 	Bind band bann! ++		badhnā́ti, bandhati 		bāṃdhnā 			bannhṇā 	bā̃dhvũ 	bāndhṇe 	bondha 	baṁdha 				phandel 
138	to sew 	sinew++ sīnā  		sī́vyati 		sīnā 			siūNṇā 	sīvvũ 	śivṇe 	silua 	ṭaṁka 				[suvel]] 
139	to count 	couna(t) gona(t) ginna(t)		gáṇayati, kálate 		ginnā 			giṇnā 	gaṇvũ 	mojṇe 	হিচাপ কৰা, gona 	gona 				ginavel 
140	to say 	Sāṅgṇe , …??		vákti 		kahnā 			ākhṇā 	bolvũ 	sāṅgṇe 	küa 	bôla 				phenel 
141	to sing 	gay gang sang		gā́yati 		gānā 			gāuṇā 	gāvũ 	gāṇe 	güa 	gaoya 				gilyabel 
142	to play 	<<<		dī́vyati 		khelnā 			kheḍṇā 	ramvũ 	kheḷṇe 	khela 	khela 				khelel 
143	to float 	Plávate / ??		plávate 		tairnā (intr.), tairānā (tr.) 			tārnā 	tarvũ (intr.), tarāvvũ (tr.) 	taraṅgṇe 	uponga, bhaha 	bhasa 				urnel 
144	to flow 	@way/wagen!?		sárati 		bahnā 			vagṇā 	vahevũ 	pravāh karṇe 	bua 	bôha 				shordyol 
145	to freeze 	friz kora / jamnais		śī́yate 		jamnā 			jammṇā 	ṭhārvũ 	goṭhavṇe 	friz kora 	jôma 				pahosajvel 
146	to swell 	Śváy/uphonda / sujj svll		śváyati 		sūjnā 			sujjaṇā 	sujī javũ 	phugṇe 	uphonda 	phaṁpa 				shulyol 
147	sun 	Sūraj !!!!!!!!!!		sū́rya, ravi, bhāskara 		sūraj 			sūraj 	suraj 	sūrya 	beli 	surj 				kham 
148	moon 	candle!! sundra candra!!! <<<		candra, mā́sa 		chānd 			cand 	candra 	candra 	zun 	caṁdô 				shon 
149	star 	(s)tara		nákṣatra, stṛ́, tārā 		tārā 			tārā 	tāro 	tārā 	tora 	tara 				cherhaj 
150	water 	pani?		jalá, áp, pānīya, vā́ri, udán, toja 		pānī, jal 			pāṇī 	pāṇī 	pāṇī 	pani 	pani, jôl 				paji 
151	rain 	Bāriś <> paris? Beriesel? <<<		varṣá 		bārish 			bāriś 	varsād 	pāūs 	boroxun 	briṣṭi 				brishind 
152	river 	nauti navdi 𓈖		nadī́ 		nadī 			nadī 	nadī 	nadī 	noi 	nôdi 				len 
153	lake 	Bil/Jhīl <> Kuhle?		sáras 		jhīl 			jhīl 	sarovar, taḷāv 	sarovar 	bil 	pukur 				baro paji 
154	sea 	samandar 𓈗 seaMeandar +++		samudra 		samandar 			samundar 	dariyo, samudra 	samudra 	xagor as 	sômudr 				marja 
155	salt 	!		lavaṇá 		namak 			lūṇ 	mīṭhũ, kṣār 	mīṭh 	nimokh, nun 	nun, lôbôn 				lon 
156	stone 	petra patthar 		áśman 		patthar 			patthar 	paththar 	dagaḍ 	xil, pathor 	pathôr 				barr 
157	sand 	red! 		pāṃsú, śíkatā 		ret 			ret 	retī 	vāḷū 	bali 	bali 				kishaj 
158	dust 	dhūṛ(st)		reṇú 		dhūl 			dhūṛ 	dhūḷ 	dhūḷ 	dhuli 	dhulo 				[praxo]] 
159	earth 	Dhartī / pruthvī   dearth/pearth		kṣám, pṛthvī́ 		]dhartī, pṛthvī, bhūmi 			dhartī 	pruthvī 	pruthvī 	prithiwi 	maṭi 				phuv 
160	cloud 	nebel/ mega!		nábhas, meghá 		bādal 			baddal 	vādaḷ 	megh 	megh 	megh 				noro 
161	fog 	dunst, dhundh, mist, koal?		míh 		dhundh 			koh 	dhummas 	dhuke 	kuoli, nior 	kuyaśa 				muglya 
162	sky 	ākāśáman 𓈗 ?? <<<		ākāśá 		āsmān 			asmān 	ākāś 	ākāś 	akax 	akaś 				cheri 
163	wind 	heavend		vāyú, vā́ta 		havā 			havā 	pavan 	vārā 	botah 	batas 				balval 
164	snow 			himá, tuṣāra, tuhina 		baraph 			baraf 	baraf 	barph 	boroph 	bôrôph 				balval 
165	ice 	himál		himá 		baraf 			baraf 	baraph 	barph 	boroph 	bôrôph 				paho 
166	smoke 	dhūmá 		dhūmá 		dhuāṃ 			dhūNā̃ 	dhumāḍo 	dhūr 	dhua 	dhuṁyo 				thuv 
167	fire 	agní ignite		agní 		āg 			agga 	āg 	agnī 	zui 	agun 				jag 
168	ash 	ā́sa  asthī 		ā́sa 		rākh 			asthīā̃ 	rākh 	asthī 	sai as 	chai 				ushar 
169	to burn 	<<<		dahati 		jalnā 			sāṛnā 	bāḷvũ 	jāḷṇe 	pura, zolua 	pora (intr.), jôla (intr. 				phabol 
170	road 	path, Rast~roads		patha, ádhvan, mārga 		saṛak 			saṛak 	rasto 	rastā 	ali, bat 	rasta, pôth 				drom 
171	mountain 	girí, kar, pahāṛ !! <<		girí, párvata 		pahāṛ 			pahāṛ 	parvat 	ḍoṅgar) 	pahar 	pahaṛ 				plaj 
172	red 	lalack, rorht ronga range!!		rakta, róhita 		lāl 			lāl 	lāl 	lāl 	ronga 	lal 				lolo 
173	green 	shara, gharun ++		harita, palāśa 		harā 			harā 	līlo 	hirvā 	xeuzia 	sôbuj 				zeleno 
174	yellow 	Pyellow !! <<		pītala 		pīlā 			pīlā 	pīḷo 	pivḷā 	halodhia 	hôlud 				galbeno 
175	white 	sawhite saphir <<<		śvetá, śukla 		safed 			saphēd 	saphed 	pāṇḍhrā 	boga 	sada 				parno 
176	black 	kālā colour		kṛṣṇá 		kālā 			kālā 	kāḷo 	kāḷā 	ko’la 	kalo 				kalo 
177	night 	rest, rat, ?		rā́tri, nakti, kṣap 		rāt 			rāt 	rāt 	rātri 	rati 	ratr, rat 				ratyi 
178	day 	dayn, deivas		dina, áhar, divas 		din 			din 	divas 	divas 	din 	din 				dyes 
179	year 	Various? <<		varṣá, saṃvatsara 		sāl 			sāl 	varas 	varṣ 	bosor 	bôchôr 				bersh 
180	warm 	gvrm charm ++		taptá 		garm 			garam 	garam 	ubdār 	topot as 	gôrôm 				tato 
181	cold 			śītá 		ṭhaṇḍā 			ṭhaṇḍe 	ṭhaṇḍu 	thaṇḍ 	sesa 	ṭhaṇḍa 				shudro 
182	full 	Pūrā > full ++		pūrṇá 		pūrā 			pūrā 	bharelũ 	sampūrṇ 	bhora 	bhôra 				pherdo 
183	new 	náva nayā 		náva 		nayā 			navā̃ 	navũ 	navīn 	notun 	nôtun 				nyevo 
184	old 	jeun≠June & julive <<<<<<		jīrṇá, vṛddhá, purātana 		purānā 			purāṇī 	junũ 	june 	purona 	purano 				phurano 
185	good 	<<<		vásu, bhadrá 		acchā 			caṅgā 	sārũ 	cāṅgle 	bhal 	bhalo 				lasho 
186	bad 	<<<		pāpá, duṣṭa 		burā, xarāb 			burā 	kharāb 	vāīṭ 	bea 	kharap 				nasul 
187	rotten 			pū́ti 		saṛā 			gandī 	saḍelũ 	kujlelā 	gela, posa 	pôca 				kerno 
188	dirty 			malina, samala 		gandā 			gande 	gandu 	galicch 	letera 	môyôla 				melalo 
189	straight 	Siddhā <> site		ṛjú, sādhu 		sīdhā 			siddhā 	sīdhũ 	saraḷ 	pun 	soja 				vorta 
