№ 	English 	Arabic 	Romanized Arabic 	Tarifiyt Berber 		Hebrew 	Romanized Hebrew 	Syriac 	Romanized Syriac 	Romanized Akkadian 	Ge'ez 	Romanized Ge'ez 	Maltese 	Romanized Coptic 	Tarifiyt Berber 	Hausa 	Oromo (Wallagga) 	Somali
33	short 	قصير‎ 	qaṣīr 			קצר‎ 	qâṣâr 	ܟܪܝܐ‎ 	karyā 	karû 	ኅጹር 	ḫəṣur 	qasir 			guntu 		gaaban
34	narrow 	ضيق‎ 	ḍáyyiq 			צר‎ 	ṣâr 	ܥܝܩܐ‎ 	ʿīqā 	qatnu 	ጸቢብ 	ṣabib 	dejjaq 			siriri 		ciriiri
35	thin 	رقيق‎ 	raqīq 			דק‎ 	daq 	ܪܩܝܩܐ‎, ܛܠܝܚܐ‎ 	raqqīqā, ṭlīħā 	qatnu 	ቀጢን/ደቂቅ 	qaṭin/daqiq 	rqiq 					dhuuban
36	woman 	امرأة‎ 	ʾimráʾa 	ŧamɣā’ŧ, ŧamət’t’uŧ 		אשה‎ 	ʾiššâ 	ܐܢܬܬܐ‎ 	ʾattəθā 	sinništu 	ብእሲት 	bəʾəsit 	mara 	te-shime (hiome) 	ŧamɣā’ŧ, ŧamət’t’uŧ 	màcè 		dumar
37	man (adult male) 	رجل‎ 	rájul 	āyaz 		איש‎ 	ʾiš 	ܓܒܪܐ‎ 	gavrā 	zikaru 	ብእሲ 	bəʾəsi 	raġel 	p-hoout 	āyaz 	námíjì 		rag
38	man (human being) 	انسان‎ 	ʾinsān 	ƀnađəm (< Ar.) 		אדם‎, אנוש‎ 	ʾâðâm, ʾənōš 	ܐܢܫܐ‎ 	ʾənāšā 	awīlu 	ሰብእ/ሰብኣዊ 	sabəʾ/sabʾāwi 	bniedem 	p-rōme 	ƀnađəm (< Ar.) 	mùtûm 	nama 	nin
39	child 	ولد‎ 	walad 	aħənžia, řƀəz’z’ 		ילד‎ 	yeleð 	ܝܠܘܕܐ‎ 	yalluðā 	ṣexru, māru 	ሕፃን/ወልድ, ወለት 	ħəḍān/wald (m.), walatt (f.) 	tifel 	p-šēre 	aħənžia, řƀəz’z’ 	ɗáa, 'yáa 		cunug
40	wife 	زوجة‎ 	záwja 	ŧamɣā’ŧ 		אשה‎ 	ʾiššâ 	ܐܢܬܬܐ‎ 	ʾattθā 	aššatu 	ብእሲት 	bəʾəsit 	mara 	te-shime (hiome) 	ŧamɣā’ŧ 	màatáa 		xaas
41	husband 	بعل‎ 	baʿl 	āyaz 		בעל‎ 	baʿal 	ܒܥܠܐ‎ 	baʿlā 	mutu 	ምት/በዓል 	mət/baʿāl 	żewġ 	p-hai, p-hoout 	āyaz 	míjìi 		nin
42	mother 	أم‎ 	ʾumm 	yəmma (< Ar.?) 	femme	אם‎ 	ʾém 	ܐܡܐ‎ 	ʾemmā 	ummu 	እም 	ʾəmm 	omm 	t-maau 	yəmma (< Ar.?) 	úwáa 		hooyo
43	father 	أب‎ 	ʾab 	ƀaƀa (< Ar.?) 	baba	אב‎ 	ʿâv 	ܐܒܐ‎ 	ʾavā 	abu 	አብ 	ʾab 	missier 	p-eiōt (eiote) 	ƀaƀa (< Ar.?) 	ùbáa 		aabbe
44	animal 	حيوان‎ 	ħayawān 	lħayawan (< Ar.) 		חיה‎ 	ħayyâ 	ܚܝܘܬܐ‎ 	ħayyuθā 		አርዌ 	ʾarwe 	annimal 	p-tᵊvnē (tᵊvnooue) 	lħayawan (< Ar.) 	dábbàa (< Ar.?) 		bahal
45	fish 	سمكة‎ 	sámaka 	asřəm 		דג‎ 	dâğ 	ܢܘܢܐ‎ 	nūnā 	nūnu 	ዓሣ 	ʿāśā 	ħuta 	p-tᵊvt 	asřəm 	kíifíi 	qurt'ummii 	kalluun, mallaay
46	bird 	طير‎, عصفور‎ 	ṭayr, ʿaṣfūr 	ažđ’iđ’ 		צפור‎, עוף‎ 	ṣippór, ʿóf 	ܛܝܪܐ‎, ܨܦܪܐ‎ 	ṭayrā, ṣefrā 	iṣṣūru 	ዖፍ 	ʿof 	għasfur 	p-halēt (halate) 	ažđ’iđ’ 	tsúntsúu 	c'irrii 	shimbir
47	dog 	كلب‎ 	kalb 	ayđi, aqzin, ahəggā 	a’chien dogge!!	כלב‎ 	kelev 	ܟܠܒܐ‎ 	kalbā 	kalbu 	ከልብ 	kalb 	kelb 	pe (o)uhor (ouhoor) 	ayđi, aqzin, ahəggā 	kàrée 	saree 	ey
48	louse 	قملة‎ 	qámla 	ŧiššəšŧ (head), infā (body) 		כנה‎ 	kinnâ 	ܩܠܡܐ‎ 	qalmā 	uplu 	ቍማል 	qʷəmāl 			ŧiššəšŧ (head), infā (body) 	kwàlkwátàa (head), kwàr̃kwátàa (body) 	c'inii, injiraan, injijii 	injir
49	snake 	حنش‎ 	ħanaš 	fiɣā’, ŧařəfsa 	python! Vs (s)nakas	נחש‎ 	nâħâš 	ܚܘܝܐ‎ 	ħewyā 	ṣēru 	አርዌ ምድር/ተመን 	ʾarwe mədr/taman 	serp 	t-hof (hvoui) 	fiɣā’, ŧařəfsa 	mácìijíi 	mar'ataa, bofa, šaawwisa 	mas
50	worm 	دودة‎ 	dūda 	ađan n tmuaŧ 		תולעת‎ 	tólaʿat 	ܬܘܠܥܐ‎ 	tawlʿā 		ዕፄ 	ʿəḍe 	dudu 	p-fᵊnt 	ađan n tmuaŧ 	tsúutsàa 		dixiri
51	tree 	شجرة‎ 	šájara 	ssəžžāŧ (< Ar.) 	vs Esche! <<	עץ‎ 	ʿéṣ 	ܐܝܠܢܐ‎ 	ʾilânā 	iṣu 	ዕጽ 	ʿəṣ 	siġra 	p-šēn 	ssəžžāŧ (< Ar.) 	ítàacée 	muka 	geed
52	forest 	غابة‎ 	ğāba 	řɣaƀəŧ (< Ar.) 	arbos	יער‎ 	yaʿar 	ܥܒܐ‎ 	ʿāvā 		ዖም 	ʿom 			řɣaƀəŧ (< Ar.) 	dáajìi 	baqqoo, daggala 	deegaan
53	stick 	عصا‎ 	ʿaṣā 			מקל‎ 	maqqél 	ܩܝܣܐ‎ 	qaysā 		ቀስተም/መቅርዕ 	qastam/maqrəʿ 				Sanada 		qori
