No. 	English 	Romani rromani ćhib	Tajik	IE		Kurdish (Central) 	Romani(Gypsie) 
149	star 	ćexrain	cherhaj	śerba?	~?	ситора 	তারা tara 
150	water 	pani	paji	phadjr	~?	об 	পানি/জল pani/jôl 
151	rain 	briśind	brishind	Priese?	~?	борон 	বৃষ্টি brishti 
152	river 	len	len	lane?	~?	дарё 	নদী nodi 
153	lake 	baro paji	baro paji	big water <> Bach(rain)!	~?	кӯл 	পুকুর pukur 
154	sea 	marja	marja	Maria™	🗸🗸	баҳр 	সমুদ্র shomudro 
155	salt 	lon	lon	@len		намак 	নুন/লবন nun/lôbon 
156	stone 	barr	barr	Pure barren!!	🗸🗸	санг 	পাথর pathor 
157	sand 	kiśaj	kishaj	Kiesel	~?	рег 	বালি bali 
158	dust 	praxo	praxo			чанг 	ধুলো dhulo 
159	earth 	phuv	phuv		<<?	замин 	মাটি mati 
160	cloud 	noro	noro	noir?	~?	абр 	মেঘ megh 
161	fog 	muglya	muglya			тира 	কুয়াশা kuasha 
162	sky 	cheri	cheri	Shary aShar!!	🗸<	осмон 	আকাশ akash 
163	wind 	balval	balval		<<	шамол 	বাতাস batash 
164	snow 	iv	balval			барф 	বরফ bôrof 
165	ice 	paho	paho			ях 	বরফ bôrof 
166	smoke 	thuv	thuv			дуд 	ধুঁয়ো dhũo 
167	fire 	jag	jag		<?	оташ 	আগুন agun 
168	ash 	ushar	ushar		🗸🗸	хокистар 	ছাই chai 
169	to burn 	phabol	phabol	phyrborn	🗸<	сӯхтан 	পোরা/জলা pora/jôla (intr) পোরানো/জালানো porano/jalano (tr) 
170	road 	drom	drom	…drome	🗸🗸	роҳ 	রাস্তা/পথ rasta/pôth 
171	mountain 	plaj	plaj	plateau??	???	кӯҳ 	পাহাড় pahaṛ 
172	red 	lolo	lolo	lila	!~-?	сурх 	লাল lal 
173	green 	zèleno	zeleno	Selen = yellow moon!	<?	сабз 	সবুজ shobuj 
174	yellow 	gàlbeno	galbeno	gelb	🗸🗸	зард 	হলুদ holud 
175	white 	parno	parno	burning bright 𒌓 BIR₂ ብርሃን bǝrhān	~?	сафед 	সাদা shada 
176	black 	kalo	kalo	color	🗸🗸	сиёҳ 	কালো kalo 
177	night 	rat	ratyi	𓇳𓏏?		шаб 	রাত্র/রাত ratro/rat 
178	day 	dives	dyes	devo!	🗸🗸	рӯз 	দিন din 
179	year 	berś	bersh	𒎕 pir 𓆶𓆵𓆳 … OctoBer … 	<<	сол 	বছর bôchor 
180	warm 	tato	tato	Hot / therm	🗸~-	гарм 	গরম gôrom 
181	cold 	śudro	shudro	schauder≠chaud	🗸~-	сард 	ঠাণ্ডা ṭhanḍa 
