 No. 	English 	Ancient Greek ἑλληνική (hellēnikḗ) 
171 	mountain 	ἄκρα (ákra), ὄρος (óros), βουνός (bounós, “hill”)
172 	red 	ἐρυθρός (eruthrós), πυρρός (purrhós)
173 	green 	χλωρός (khlōrós)
174 	yellow 	ξανθός (xanthós)
175 	white 	λευκός (leukós)
176 	black 	μέλας (mélas)
177 	night 	νύξ (núx)
178 	day 	ἡμέρα (hēméra), ἦμαρ (êmar)
179 	year 	ἔτος (étos)
180 	warm 	θερμός (thermós)
181 	cold 	ψυχρός (psukhrós)
182 	full 	μεστός (mestós), πλήρης (plḗrēs)
183 	new 	νέος (néos)
184 	old 	παλαιός (palaiós)
185 	good 	ἀγαθός (agathós)
186 	bad 	κακός (kakós)
187 	rotten 	σαπρός (saprós)
188 	dirty 	θολερός (tholerós)
189 	straight 	εὐθύς (euthús), ὀρθός (orthós)
190 	round 	κυκλοτερής (kukloterḗs)
191 	sharp (as a knife) 	τομός (tomós), ὀξύς (oxús)
192 	dull (as a knife) 	ἀμβλύς (amblús), βαρύς (barús)
193 	smooth 	λεῖος (leîos)
194 	wet 	ὑγρός (hugrós)
195 	dry 	ξηρός (xērós)
196 	correct 	δίκαιος (díkaios)
197 	near 	ἐγγύς (engús)
198 	far 	μακράν (makrán)
199 	right 	δεξιός (dexiós)
200 	left 	ἀριστερός (aristerós), εὐώνυμος (euṓnumos)
201 	at 	ἐν (en)
202 	in 	ἐν (en)
203 	with 	μετά (metá, with genitive), σύν (sún)
204 	and 	καί (kaí), τε (te)
205 	if 	εἰ (ei)
206 	because 	ὅτι (hóti)
207 	name 	ὄνομα (ónoma)
