 No 	English 	Oroqen (IPA) 	PIE – NO?	Manchu (MT) very different vocab	Altaic? Turk?	Turkmen 	Aryan		Hungarian = corrupted PIE/Turk	Best Uralic	Eurasian
55	seed 	urə 	ure/urseed	use	+++	tohum 	(f)urə 𓂋 ! ӱрен  fruit 	>	bot 	siemen 	Samen, semen
56	leaf 	abdana 	ablatt	abdaha	?	ýaprak 	𓌾  prak~blatt--	✓ ~	gyümölcs 	levél 	leaf 
57	root 	təkən 		fulehe, da	?	kök; düýp (base) 	Kök™ силис<>ciel!?		Mag (more?)	juuri	
58	bark 	kə:rə, talu 	kara	notho	+-	gabyk 	*karbark кора (kora) barka	✓✓	levél 		кора (kora)  !
59	flower 	ɪlga, ɲandʒa 	lilia	ilha	+-	gül 	Sisilk << çiçək susank	<	gyökér 	*vloira	!
60	grass 	ɔrɔktɔ 	< kéreg 	orho	+! qed	ot 	cUT, курăк~gracc~grass	✓✓	kéreg 	heinä 	Heu
61	rope 	uʃikən, ʊrkʊn 	urgan	futa	Turk	tanap, ýüp; urgan (thick) 	𓎛 бау tanar TAU++ ip 𓎛 	✓✓	virág 	kötél 	Kordel cord köt = knot nuora 𓈖 Naht!
62	skin 	nana, ilə 	sukun	sukū	++	deri (animal); ham (human) 	derma++	✓✓	fű (phyt)	nahk 	Naked <> s’nake
63	meat 	ulə 	yalis fleisch	yali		et 	eat  (m)эт meat!	✓	kötél 	liha 	<> F’lesh! Flihus fileth
64	blood 	ʃə:kʃə 	sange	senggi	+++	gan 	sang! Xuen	✓	Bőr <> bark	vér 	WIR! Vir! Viral
65	bone 	gɪramna 	kornagi	giranggi	+<	süňk 	Sang soma сööк<>gök™ сөяк korkn	< 	hús 	骨 ほね hone	Korn ~ Кость > Osteo / leg? 𒄩𒀀𒀸𒊭
66	fat (noun) 	imukʃə 	tarhūn!?	tarhūn	!?	yağ 	yog(hurt) mast	✓	vér 	razva 	ranz, sour
67	egg 	ʊmʊkta 	ýumurtga 	umhan	Turk	ýumurtga 	<< ¬murt? urtga~egg@KOR		Csont <> süňk?	muna 	Many Moon! 𓆇 𓇸
68	horn 	i:gə 	Eck : zahn	uihe		şah (Pers.) 	𓏠 𓈖 𓃒 𓏥 menges / şah (Pers.) 	✓✓	zsír 	сюро 	kharvn khorn keras
69	tail 	irgi 		uncehen		guýruk 	Curück! <> curl?	✓	tojás, mony 	häntä 	Hinter tail!!
70	feather 	ʃuptʃu 	f.. dether	dethe, funggala	<<	ýelek 	tail! toll@ural	✓	szarv (@Schaf?)	toll 	Tolle, tail?
71	hair 	ɲuriktə 	tou.fa …	funiyehe		saç, tüý, gyl 	sack, tolle	✓	Farok ?	Haj, karva hivus	hair, 
72	head 	dɪl 		uju		baş 	boss! Kopf++ TOP!	✓	toll 	fej fő, piä 	face, ce.pha
73	ear 	ʃɛ:n 	sense 𓋴𓂸𓄔  <>  𓋴 𓈖 𓂉 𓀁 sense	šan	++	gulak 	Khores ++	✓	haj 	korva 	khohr, curve?
74	eye 	yɛ:ʃa 	eyes	yasa	++	көз 	gaze ogeyes!	✓✓	fej fő 	silmä 	see/mu 目 
75	nose 	ɔŋɔktɔ 	ŋɔkt~nose	oforo		burun 	thana’~nasha  burun? Myrrhenos	✓?	fül 	nenä 	nose
76	mouth 	amŋa 	𓂋 am Zunge?	angga		agyz 	𓂋 !!! am/OS << agyz	✓	szem 	suu 	Osu @ Latin
77	tooth 	iktə 	Eck ^ horn	weihe		diş 	Teeth +++	✓✓	Orr ≠ Ohr	Hammas	Hauer, Hammer? ham@mouth?
78	tongue 	iŋi 	Unge / lingua	ilenggu	+++	dil 	D << ++ del	✓	száj ajak 	keel 	<> Kehle, Keil?
79	fingernail 	ʊʃɪkta 		hitahūn		dyrnak 	tir.nagel	✓	Fog ~ fang?	గోరు (gōru)	Kralle
80	foot 	algan 	bethe!	bethe	+++	aýak 	bethe bal al.gan 𓃀 JAGe	✓✓!	nyelv 	la bfej!! ja lka	lab / po/füß leg
81	leg 	algan 	a’legen	bethe	+++	aýak 	bacak! 𓃀 бот +++	✓✓	köröm 	láb 	Lab / leg
82	knee 	əŋŋən 		tobgiya		dyz 	térd@hun 	~	láb lábfej 		
83	hand 	ŋa:la 	falungong	gala, falanggū (palm of the hand)	---	el 	Elle vs Arma  qoʻl хол < cheiro	~	láb 		
84	wing 	dəktilə, aʃakɪ: 	"dactyl ""finger""  a’shu 𓆄"	'as''ha'	++ <	ganat 	qwingas!! кан~qwan!	~	térd 		
85	belly 	gudə: 	gut, he.belly	hefeli	++? <>	garyn 	𓄡 črěvo coeur-sack!	✓<	kéz 		
	hand 								kéz 	<> கை (kai) 	kaf! Hand=käsi ;) <> catch
WTF	wing 								szárny 	tiib	wing=tip
	belly 								Has <	vačča 	Fass, f’essen <> POT=belly పొట్ట (poṭṭa)
86	guts 	ʃɪlʊkta 	Schlucht / schluck;)	duha	+?	içege 	bags+ sacks	✓	belek 	??	bulk, some, solve?
87	neck 	nɪkɪmna 	neck.uma!	monggon, gen	+++	boýun 	neck nɪkɪmna  моюн <<		nyak 	nyak, kaula 	neck, Kehle !
88	back 	ʃɔgdɔnɔ 		fisa		arka, yagyrny 	ARC!	✓✓	hát 	hát	hinter 
89	breast 	ukun 	tu.nyak 	tunggen (chest) huhun (breasts)	Hungar	emjek 	mamma chestum!	✓	mell kebel 	mell kebel	milch geber = Rinder!
