 № 	English 	Chuvash 	Aryan		Turkmen 	Yakut 	Tuvan 	Khakas 	Standard Altai 	Tatar 	Bashkir 	Karachay-Balkar 	Kazakh 	Kyrgyz 	Uzbek 	Uyghur 	Turkmen 	Azerbaijani 	Turkish 	Crimean Tatar 	Karakhanid
27	big 	пысăк, мăн 	Biiig, ample, ulyg луг large	🗸🗸	uly (older) ; çişik 	улахан 	улуг 	улуг 	јаан 	зур 	ҙур, бөйөк 	уллу ; тамада, тамата (older) 	үлкен 	чоң 	katta, buyuk, ulkan 	büyük, yoghan,zor; chong (older) 	uly (older) ; çişik 	böyük 	büyük, ulu (great, grand) 	büyük 	بَدُكْ‎ (bedük), اُلُغْ‎ (uluɣ)
28	long 	вăрăм 	wiδun		uzyn 	уһун 	узун 	узун 	узун 	озын 	оҙон 	узун 	ұзын 	узун 	uzun 	uzun 	uzyn 	uzun 	uzun 	uzun 	اُزُنْ‎ (uzun)
29	wide 	сарлака, анлă 	!		giňiş, giň 	киэҥ, кэтит 	делгем, калбак; алгыг (clothes) 	чалбах, аллығ 	кэҥ 	киң 	киң 	кенг 	кең 	кең 	keng 	keng 	giňiş, giň 	geniş 	geniş, enli 	keñ, keniş 	كِنْكْ‎ (keŋ), يَسٖى‎ (yasï̄)
30	thick 	хулăн 	≠klein,lang		galyň 	халыҥ 	кылын 	халын 	калын, jooн 	калын 	ҡалын 	къалын 	қалың 	калың 	qalin, yo'g'on 	qélin 	galyň 	qalın 	kalın, yoğun (dense) 	qalın 	قَلِنْ‎ (qalïn)
31	heavy 	йывăр 	!		agyr 	ыар, ыарахан 	аар 	аар 	уур 	авыр 	ауыр 	ауур 	ауыр 	оор 	ogʻir 	éghir 	agyr 	ağır 	ağır 	ağır 	اَغِرْ‎ (aɣïr)
32	small 	пĕчĕк 	chiculn! 𓅱 nietsh!		kiçi, kiçijik 	кыра, куччугуй, кыччыгый 	биче, бичии 	кiчиӌек 	кичинек, кичӱ 	кечкенә, кече 	бәләкәй, кесе 	гитче 	кіші, кішкене, кішкентай 	кичинекей, кичине 	kichkina, kichik 	kichik 	kiçi, kiçijik 	kiçik; balaca 	küçük 	kiçik 	كِجِكْ‎ (kičig), اُشَقْ‎ (ušaq)
33	short 	кĕске 	Kurz++ 𓅱  chiculn!		gysga 	кылгас 	чолдак, кыска 	хысха 	кыска 	кыска 	ҡыҫҡа 	къысха 	қысқа 	кыска 	qisqa 	qisqa 	gysga 	qısa 	kısa 	qısqa 	قِسْغا‎ (qïsɣā), قِرْتْ‎ (qïrt)
34	narrow 	ансăр; тăвăр (tight) 	<> door! Darben?		dar 	кыараҕас, синньигэс 	тар, кызыы 	нiске (not wide), тaр (tight) 	тар 	тар 	тар 	тар 	тар 	тар 	tor 	tar 	dar 	dar 	dar 	tar 	تارْ‎ (tār)
35	thin 	çӳхе, çинçе 	~! winz 	🗸	inçe 	синньигэс; чараас (as clothes) 	чиңге, чуга 	чуғаӌах, чуға; niske 	чичке, jука 	нечкә, нәзек 	нәҙек 	ингичге 	жiңiшке 	ичке, жука 	ingichka, yupqa, nozik 	ingichka, yupqa 	inçe 	nazik, incə 	ince, yufka 	ince 	يِنْجْكا‎ (yinčgē), يُڤْقا‎ (yuvqā)
36	woman 	хĕрарăм 	girl, katrin,kardin:work, ische, amne	🗸	heleý, aýal 	дьахтар 	херээжен, кадай, херээжен кижи 	ипчi кiзi 	ӱй кижи, эмеген (Mong.) 	хатын 	ҡатын 	тиширыу 	әйел, қатын 	аял 	ayol, xotin, qiz 	ayol, ayal 	heleý, aýal 	qadın 	kadın 	qadın 	اُراغُوتْ‎ (urāɣūt), اِشٖلارْ‎ (išīlēr)
