№	English	Ossetian<Skythian<PIE (Iron) Ирон (Iron)	Ossetian (Digor) Дигорон (Digoron) 	PIE +++
140	to say	дзурын (ʒuryn)		sharin' <> zählen
141	to sing	зарын (zaryn)		zmaryn
142	to play	хъазын (qazyn)		<
143	to float	наудзу кæнын (nawʒu kænyn)		𓈖
144	to flow	кæлын (kælyn)		𓎟 Kiel…?
145	to freeze	сæлын (sælyn)		
146	to swell	дымын (dymyn)		𓏏 dome
147	sun	хур (xur)		xura sarah ašur 𒀭𒊹𓇳
148	moon	мæй (mæj)		moᵒⁿ
149	star	стъалы (st’aly)		стъалы (st’aly)
150	water	дон (don)		𓈖 Don!
151	rain	уарын (waryn)		warain!
152	river	цæугæдон (cæugædon)		<< …𓈖
153	lake	цад (cad)		𓈙𓈇 شط 
154	sea	денджыз (denǵyz)		𓈖 Don!
155	salt	цæхх (cæxx)		x
156	stone	дур (dur)		𓊌 ⇔ 𓊨 𓊍 
157	sand	змис (zmis)		-
158	dust	рыг (ryg)		Rauch
159	earth	зæхх (zæxx)		<<
160	cloud	æврагъ (ævraǧ)		
161	fog	мигъ (miǧ)		mist
162	sky	арв (arv)	арв (arv)	𓅃 𓄿 air < europe !!
163	wind	уад (wad)		уад (wad)
164	snow	мит (mit)		<> mittens
165	ice	их (ix)		~
166	smoke	фæздæг (fæzdæg)	хъуæцæ (quæcæ)	
167	fire	арт (art)		!
168	ash	æртхутæг (ærtxutæg)		
169	to burn	судзын (suʒyn)	цæфсун (cæfsun)	
170	road	фæндаг (fændag), балц (balc)	над (nad)	𓈖
171	mountain	хох (xox )		corc
172	red	сырх (syrx)		
173	green	цъæх (c’æx)		
174	yellow	бур (bur )		burn
175	white	урс (urs)		*Harušás weirss 𐬀𐬎𐬭𐬎𐬱𐬀‎ auruša <> aura
176	black	сау (saw)		𒊹 swarty
177	night	æхсæв (æxsæv)		
178	day	бон (bon)		φαίνω  “shine”  φαῦω բանամ भान bhā́na born?
179	year	афæдз (afæʒ)		
180	warm	хъарм (qarm)		PIE *gʷʰerm
181	cold	уазал (wazal)		
182	full	дзаг (ʒag)		zig…
183	new	нæуæг (næuæg)		нæуæг (næuæg)
184	old	зæронд (zærond)		gero sir senior
185	good	хорз (xorz)		!
186	bad	æвзæр (ævzær)		az¬ver 𓊄 𓏏 𓅪 !
