No. 	English 	IE		Greek ελληνικά (elliniká) 	IPA pronunciation		Ancient Greek ἑλληνική (hellēnikḗ) 
80	foot 	🗸  πούς (poús) !!!!		πόδι (pódi) 	ˈpoði	!!!	πούς (poús)
81	leg 	🗸 colon! Skelegt!!! <<<		πόδι (pódi) 	ˈpoði		κῶλον (kôlon), σκέλος (skélos)
82	knee 	🗸		γόνατο (gónato) 	ˈɣonato		γόνυ (gónu)
83	hand 	🗸		χέρι (chéri) 	ˈçeri		χείρ (kheír)
84	wing 	🗸		φτερό (fteró) 	fteˈro		πτέρυξ (ptérux)
85	belly 	<<<< child!		κοιλιά (koiliá) 	ciˈʎa		γαστήρ (gastḗr), κοιλία (koilía)
86	guts 	<<<		σπλάχνα (spláchna), εντόσθια (entósthia) 	ˈsplaxna, eˈndosθia		ἔντερα (éntera), σπλάγχνα (splánkhna)
87	neck 	3-kehle! <> 3-hair !?		λαιμός (laimós) 	leˈmos		αὐχήν (aukhḗn), τράχηλος (trákhēlos)
88	back 	??		πλάτη (pláti) 	ˈplati		νῶτον (nôton)
89	breast 			στήθος (stíthos) 	ˈstiθos		μαστός (mastós), στῆθος (stêthos, “chest”)
90	heart 	🗸	🗸	καρδιά (kardiá) 	karˈðʝa		καρδία (kardía)
91	liver 	🗸 hepa…	™	συκώτι (sykóti) 	siˈkoti		ἧπαρ (hêpar)
92	to drink 	🗸™ @…	™	πίνω (píno) 	ˈpino		πίνω (pínō)
93	to eat 	🗸 esst.io!	🗸	τρώ(γ)ω 	ˈtro(ɣ)o		ἐσθίω (esthíō), ἔφαγον (éphagon)
94	to bite 			δαγκώνω (dagkóno) 	ðaˈŋɡono		δάκνω (dáknō)
95	to suck 	~		ρουφώ (roufó) 	ruˈfo		σπάω (spáō)
96	to spit 	🗸!	🗸	φτύνω (ftýno) 	ˈftino		πτύω (ptúō)
97	to vomit 			ξερνώ (xernó) 	kserˈno		ἐμέω (eméō)
98	to blow 	🗸 pusten@Baltik	🗸	φυσάω (fysáo) 	fiˈsao		φυσάω (phusáō)
99	to breathe 	🗸 pneu™	™	αναπνέω (anapnéo), ανασαίνω (anasaíno) 	anaˈpneo, anaˈseno		πνέω (pnéō)
100	to laugh 	🗸 gelächter	🗸!?	γελάω (geláo) 	ʝeˈlao		γελάω (geláō)
101	to see 	eye.don ++ horeye!! bliqp	🗸!!	βλέπω (vlépo) 	ˈvlepo		βλέπω (blépō), ὁράω (horáō), εἶδον (eîdon)
102	to hear 	akust, akohrn	🗸!!	ακούω (akoúo) 	aˈkuo		ἀκούω (akoúō), ἀΐω (aḯō)
103	to know 	voissa οἶδα (oîda) GI.gnost	🗸!!	ξέρω (xéro), γνωρίζω (gnorízo) 	ˈksero, ɣnoˈrizo	<<	οἶδα (oîda), γιγνώσκω (gignṓskō)
104	to think 			σκέφτομαι (skéftomai), νομίζω (nomízo) 	ˈsceftome, noˈmizo		νομίζω (nomízō), δοκέω (dokéō), νοέω (noéō), οἴομαι (oíomai)
105	to smell 			μυρίζω (myrízo) 	miˈrizo		ὀσφραίνομαι (osphraínomai)
106	to fear 		™	φοβάμαι (fovámai) 	foˈvame		φοβέομαι (phobéomai)
107	to sleep 	Koje.mama	<<	κοιμάμαι (koimámai) 	ciˈmame		καθεύδω (katheúdō), εὕδω (heúdō), εὐνάζομαι (eunázomai), κοιμάομαι (koimáomai), ἰαύω (iaúō)
108	to live 	zoonkh!!!	🗸!?	ζω (zo) 	zo		ζάω (záō), βιόω (bióō), οἰκέω (oikéō)
109	to die 	<<<		πεθαίνω (pethaíno) 	peˈθeno		ἀποθνῄσκω (apothnḗiskō), θνῄσκω (thnḗiskō), τελευτάω (teleutáō), ὄλομαι (ólomai)
110	to kill 			σκοτώνω (skotóno) 	skoˈtono		ἀποκτείνω (apokteínō), ἔπεφνον (épephnon)
111	to fight 	mar@Romani <> Marx Mars	🗸++	μαλώνω (malóno) 	maˈlono		μάχομαι (mákhomai)
112	to hunt 	<> chien!	🗸<<	κυνηγώ (kynigó) 	ciniˈɣo		θηρεύω (thēreúō), θηράω (thēráō), ἰχνεύω (ikhneúō), κυνηγετέω (kunēgetéō), κυνηγέω (kunēgéō), σεύω (seúō)
113	to hit 			χτυπώ (chtypó) 	xtiˈpo		τύπτω (túptō)
114	to cut 	copt	🗸 ?	κόβω (kóvo) 	ˈkovo		τέμνω (témnō)
115	to split 	<> schnitz, kork=bark?		χωρίζω (chorízo) 	xoˈrizo		σχίζω (skhízō)
116	to stab 			μαχαιρώνω (machairóno) 	maçeˈrono		κεντέω (kentéō)
117	to scratch 			ξύνω (xýno) 	ˈksino		κνάω (knáō)
118	to dig 	skarab scarve sgrab ++	🗸	σκάβω (skávo) 	ˈskavo		ὀρύσσω (orússō), σκᾰ́πτω (skáptō)
119	to swim 	Kolumbus!!!! <<<	<<<	κολυμπώ (kolympó) 	kolimˈbo		νέω (néō), κολυμβάω (kolumbáō)
120	to fly 	opter	🗸	πετάω (petáo) 	peˈtao		πέτομαι (pétomai)
121	to walk 	!	🗸!	περπατώ (perpató) 	perpaˈto		περιπατέω (peripatéō), πατέω (patéō), στείχω (steíkhō), βαίνω (baínō), βαδίζω (badízō), πεζεύω (pezeúō), πορεύω (poreúō)
122	to come 	her.kommen!!! <> (w)ergo	🗸🗸!	έρχομαι (érchomai) 	ˈerxome		ἱκνέομαι (hiknéomai), ἵκω (híkō), ἔρχομαι (érkhomai), εἶμι (eîmi)
123	to lie (as in a bed) 	schlummer, chlaphon	~🗸!	ξαπλώνω (xaplóno), πλαγιάζω (plagiázo) 	ksaˈplono, plaˈʝazo		κεῖμαι (keîmai)
124	to sit 	cait καθί.ζω do!	🗸!	κάθομαι (káthomai) 	ˈkaθome		καθίζω (kathízō)
125	to stand 	stehhen hin.steh	🗸🗸!	στέκομαι (stékomai) 	ˈstekome		ἵστημι (hístēmi)
126	to turn (intransitive) 		~!	γυρίζω (gyrízo) 	ʝiˈrizo		τρέπω (trépō)
127	to fall 			πέφτω (péfto) 	ˈpefto		πίπτω (píptō)
128	to give 	über.reichen!! dir.donmer!	!!<<	δίνω (díno) 	ˈðino		παρέχω (parékhō), δίδωμι (dídōmi)
129	to hold 	hescher! Po?Grabt	🗸!	κρατάω (kratáo) 	kraˈtao		ἔχω (ékhō)
130	to squeeze 	piezo, pinzet	🗸!	ζουλάω (zouláo) 	zuˈlao		πιέζω (piézō)
131	to rub 			τρίβω (trívo) 	ˈtrivo		τρίβω (tríbō)
132	to wash 	lauge, flussn?	🗸?	πλένω (pléno) 	ˈpleno		λούω (loúō), πλύνω (plúnō), νίπτω (níptō)
133	to wipe 	ab.mwischen	🗸!	σκουπίζω (skoupízo) 	skuˈpizo		ἀπομάσσω (apomássō)
134	to pull 	pullko?	<<	τραβώ (travó) 	traˈvo		ἕλκω (hélkō)
135	to push 	(p)oth~push	🗸?	σπρώχνω (spróchno) 	ˈzbroxno		ὠθέω (ōthéō)
136	to throw 	ball, rupthro?	🗸?	ρίχνω (ríchno), πετώ (petó) 	ˈrixno		ῥίπτω (rhíptō), βάλλω (bállō)
137	to tie 	Δέω ~ ðien ~ tie/ziehen ++	🗸🗸!	δένω (déno) 	ˈðeno		δέω (déō)
138	to sew 	^ throw		ράβω (rávo) 	ˈravo		ῥάπτω (rháptō)
139	to count 	Arithm Adam riesme 𓂋 reime 	🗸🗸!	μετράω (metráo) 	meˈtrao		ἀριθμέω (arithméō)
140	to say 	phon, pheme, lüge, slange!	<<	λέω (léo) 	ˈleo		φημί (phēmí), λέγω (légō), ἐνέπω (enépō)
141	to sing 			τραγουδώ (tragoudó) 	traɣuˈðo		ἀείδω (aeídō)
142	to play 	balz, bolzen, playz	🗸🗸!	παίζω (paízo) 	ˈpezo		παίζω (paízō)
143	to float 	< nau	™🗸	πλέω (pléo), επιπλέω (epipléo) 	ˈpleo, epiˈpleo		νέω (néō)
144	to flow 	^ row	🗸?	τρέχω (trécho) 	ˈtrexo		ῥέω (rhéō)
145	to freeze 			παγώνω (pagóno) 	paˈɣono		πήγνυμαι (pḗgnumai)
146	to swell 			φουσκώνω (fouskóno), πρήζομαι (prízomai) 	fuˈskono, ˈprizome		αὐξάνω (auxánō)
147	sun 	<< (s)henRay hẽLio helio	🗸	ήλιος (ílios) 	ˈiʎos		ἥλιος (hḗlios)
148	moon 	selene, la lune <> glüne!!	🗸!	φεγγάρι (fengári), Σελήνη (Selíni) 	feˈŋɡari, seˈlini		σελήνη (selḗnē)
149	star 		🗸	αστέρι (astéri), άστρο (ástro) 	aˈsteri		ἀστήρ (astḗr)
150	water 		🗸	νερό (neró) 	neˈro		ὕδωρ (húdōr) WTF
151	rain 	ὑετός weathern!	🗸!	βροχή (vrochí) 	vroˈçi		ὑετός (huetós), βροχή (brokhḗ)
152	river 	Flüsse=plutha=ποτα.mos	🗸!	ποτάμι (potámi) 	poˈtami		ποταμός (potamós)
153	lake 	limes, al.mnemn!	🗸!	λίμνη (límni) 	ˈlimni		λίμνη (límnē)
154	sea 		🗸!	θάλασσα (thálassa) 	ˈθalasa		θάλασσα (thálassa), πέλαγος (pélagos), πόντος (póntos)
155	salt 		🗸!	αλάτι (aláti) 	aˈlati		ἅλς (háls)
156	stone 		™<	πέτρα (pétra) 	ˈpetra	!	λίθος (líthos)
157	sand 		<<	άμμος (ámmos) 	ˈamos		ἄμμος (ámmos)
158	dust 	körner?		σκόνη (skóni) 	ˈskoni		κόνις (kónis)
159	earth 	γῆ gêon!  χθών s’turn ??	<<	γη (gi) 	ʝi		γῆ (gê), χθών (khthṓn) ƒ
160	cloud 	nebels		σύννεφο (sýnnefo) 	ˈsinefo		νέφος (néphos)
161	fog 	ominös?		ομίχλη (omíchli) 	oˈmixli		ὀμίχλη (omíkhlē)
162	sky 	urain! 	<<<<	ουρανός (ouranós) 	uraˈnos		οὐρανός (ouranós)
163	wind 	anau.mos <> animiert	<<<!	αέρας (aéras) 	aˈeras		ἄνεμος (ánemos)
164	snow 	Χιών ~ csnown!	🗸!	χιόνι (chióni) 	ˈçoni		χιών (khiṓn) ƒ
165	ice 	crystal (glice!)	🗸!	πάγος (págos) 	ˈpaɣos		κρύσταλλος (krústallos)
166	smoke 	Karpfen?	?	καπνός (kapnós) 	kaˈpnos		καπνός (kapnós)
167	fire 		🗸🗸	φωτιά (fotiá) 	foˈtça		πῦρ (pûr)
168	ash 			στάχτη (stáchti) 	ˈstaxti		τέφρα (téphra)
169	to burn 	Kain < charm, haizen		καίω (kaío) 	ˈceo		καίω (kaíō)
170	road 	hroad.os!!	🗸!	δρόμος (drómos) 	ˈðromos		ὁδός (hodós)
171	mountain 	berg, bakra, (k)uros!	🗸!™!	βουνό (vounó) 	vuˈno		ἄκρα (ákra), ὄρος (óros), βουνός (bounós, “hill”)
172	red 	fire, feryt: rot	🗸!	κόκκινος (kókkinos) 	ˈkocinos		ἐρυθρός (eruthrós), πυρρός (purrhós)
173	green 	Chlor 2: χλωρ ghrünρ	🗸!<!	πράσινος (prásinos) 	ˈprasinos		χλωρός (khlōrós)
174	yellow 	Ξανθός <> citron!	🗸!	κίτρινος (kítrinos) 	ˈcitrinos	<<	ξανθός (xanthós)
175	white 	Leucht, >>		άσπρος (áspros) 	ˈaspros		λευκός (leukós)
176	black 	Melan = ¬miel,mehl¬!	🗸!<!	μαύρος (mávros) 	ˈmavros		μέλας (mélas)
177	night 		🗸🗸	νύχτα (nýchta) 	ˈnixta		νύξ (núx)
178	day 		<<	μέρα (méra) 	ˈmera		ἡμέρα (hēméra), ἦμαρ (êmar)
179	year 	Wetter? <	<<	χρόνος (chrónos) 	xroˈnos		ἔτος (étos)
180	warm 	charm=warm	🗸🗸	ζεστός (zestós) 	zeˈstos		θερμός (thermós)
181	cold 	kryo<>chilld	🗸 <	κρύος (krýos) 	ˈkrios		ψυχρός (psukhrós)
182	full 	full.erens, (ge)mästedh	🗸🗸	γεμάτος (gemátos) 	ʝeˈmatos		μεστός (mestós), πλήρης (plḗrēs)
183	new 		🗸🗸	καινούργιος (kainoúrgios) 	ceˈnurʝos		νέος (néos)
184	old 		™	παλιός (paliós) 	paˈʎos		παλαιός (palaiós)
185	good 		🗸~	καλός (kalós) 	kaˈlos		ἀγαθός (agathós)
186	bad 	kacke;)	🗸🗸	κακός (kakós) 	kaˈkos		κακός (kakós)
187	rotten 		??	σάπιος (sápios) 	ˈsapços		σαπρός (saprós)
188	dirty 			βρόμικος (vrómikos) 	ˈvromikos		θολερός (tholerós)
189	straight 	a’rightos, arta@India	🗸🗸	ίσιος (ísios) 	ˈisços		εὐθύς (euthús), ὀρθός (orthós)
190	round 	cycled	🗸🗸	στρογγυλός (strongylós) 	stroɲɟiˈlos		κυκλοτερής (kukloterḗs)
191	sharp (as a knife) 	teilmend		κοφτερός (kofterós) 	kofteˈros		τομός (tomós), ὀξύς (oxús)
192	dull (as a knife) 			στομωμένος (stomoménos) 	stomoˈmenos		ἀμβλύς (amblús), βαρύς (barús)
193	smooth 			λείος (leíos) 	ˈlios		λεῖος (leîos)
194	wet 	Whydros : wet!!  γρ<>DR slang	™🗸	βρεγμένος (vregménos), υγρός (ygrós) 	vreɣˈmenos, iˈɣros		ὑγρός (hugrós)
195	dry 		™	στεγνός (stegnós), ξερός (xerós) 	steˈɣnos, kseˈros		ξηρός (xērós)
196	correct 	said?	™	σωστός (sostós) 	soˈstos		δίκαιος (díkaios)
197	near 	agnea?	~?	κοντά (kontá) 	koˈnda		ἐγγύς (engús)
198	far 	<> makro	^?	μακριά (makriá) 	makriˈa		μακράν (makrán)
199	right 	dextro derechio	™	δεξιά (dexiá) 	ðeksiˈa		δεξιός (dexiós)
200	left 		<<	αριστερά (aristerá) 	aristeˈra		ἀριστερός (aristerós), εὐώνυμος (euṓnumos)
201	at 	in, zu	🗸🗸	σε (se) 	se		ἐν (en)
202	in 	in, mitten!	🗸🗸	μέσα (mésa) 	ˈmesa se		ἐν (en)
203	with 	mit!! μετά  syn,con,…	🗸🗸<	με (me) 	me		μετά (metá, with genitive), σύν (sún)
204	and 	he!	™🗸	και (kai) 	ce		καί (kaí), τε (te)
205	if 	when!! εάν  sein, eif!	🗸🗸<	εάν (eán), αν (an) 	eˈan, an		εἰ (ei)
206	because 			επειδή (epeidí), γιατί (giatí) 	epiˈði, ʝaˈti		ὅτι (hóti)
207	name 		🗸🗸<	όνομα (ónoma) 	ˈonoma		ὄνομα (ónoma)
