 № 	English 	Kusunda	Connection	
177	night 	iŋao / iŋau 	gnach	OK?
178	day (daytime) 			
179	year 	bəsə (Nep.) 	base?	
180	warm (as in weather) 			
181	cold (as in weather) 	yaɢʕu, yaːʕu / yaχəu 	<> snow	
182	full 	pʰirun, pʰirut-n̩ 	pʰir > poly > full	
183	new 	dzəŋən / dzaŋ 	jung	++
184	old 	purano (Nep.) <> dʰya dzəgəl 		
185	good 	wen, weyən 	ben	++
186	bad 	kolom, qolom 	calamity	
187	rotten (as, a log) 	qaudzi 		
188	dirty 	hoigən, huigin 	pfui.gen	--
189	straight 			
190	round 	guluŋ 	√circul kugeln	
191	sharp (as a knife) 	kan 		
192	dull (as a knife) 			
193	smooth 			
194	wet 	dzoq-n̩; dzoq-to (imp) 		
195	dry (adjective) 	qaien, qaiɢʕun, qaidzi 	gün	™@Turk...
196	right (correct) 			
197	near 	istə 	just este	
198	far 	hũtu 		
199	right (side) 			
200	left (side) 			
201	at 			
202	in 			
203	with (accompanying) 	-ma 	mit	
204	and 			
205	if 			
206	because 	nən nohən 		
207	name 			
