 No. 	English 	Thai ภาษาไทย 	Transliteration	PIE? Few CH? some		
172	red 	แดง 	daeaeŋ	Dan < tain	++	
173	green 	เขียว 	khǐaw	khǐawn		
174	yellow 	เหลือง 	lʉ̌aŋ	ye.lune 🌖		
175	white 	ขาว 	khǎaw	Clear? –		
176	black 	ดำ 	dam	dim Dumkel @ dawnm	
177	night 	กลางคืน, คืน 	klaaŋ.khʉʉn, khʉʉn	𓎡𓎡!		
178	day 	กลางวัน, วัน 	klaaŋ.wan, wan	wana?		
179	year 	ปี,ขวบ 	pii, khùap	--		
180	warm 	ร้อน, อุ่น 	rɔ́ɔn, ùn	ran@CN		
181	cold 	หนาว, เย็น 	nǎaw, yen			
182	full 	เต็ม 	tem			
183	new 	ใหม่ 	mày	mneu	+<	
184	old 	แก่, เก่า 	kàeae, kàw	kae<gero		
185	good 	ดี 	dii	top		
186	bad 	ไม่ดี, เลว 	mâi.dii	mei.top		
187	rotten 	เน่า 	nâo			
188	dirty 	สกปรก 	sòkkapròk	Suck -		
189	straight 	ตรง 	troŋ			
190	round 	กลม 	klom	krumm		
191	sharp 	คม 	khom			
192	dull 	ทื่อ 	thʉ̂ʉ	thʉ̂ʉll		
193	smooth 	เรียบ 	rîap			
194	wet 	เปียก 	pìak	platsch phetk		
195	dry 	แห้ง 	hâeaeŋ			
196	correct 	ถูก, ถูกต้อง 	thùuk, thùuk.tɔ̂ɔŋ	dui!		
197	near 	ใกล้ 	klây	--		
198	far 	ไกล 	klay	--		
199	right 	ขวา 	khwǎa			
200	left 	ซ้าย 	sáay			
201	at 	ที่, อยู่ 	thîi, yùu			
202	in 	ใน 	nay	nei	++	
203	with 	กับ, ด้วย 	kàp, dûay	Kan -		
204	and 	และ, กับ 	láe, kàp	^^ –		
205	if 	ถ้า, หาก 	thâa, hàak			
206	because 	เพราะ 	phrɔ́?			
207	name 	ชื่อ 	chʉ̂ʉ 	chatul	--	
