 № 	English 	Aryan		Telugu 	Tamil 	Malayalam 	Kannada 	Tulu 	Gondi 	Konda-Dora 	Brahui
28	long 	<>pod		పొడవైన (poḍavaina) 	நீளமான (nīḷamāṉa) 	നീണ്ട (/n̪iːɳʈa/) 	ನಿಡು (niḍu) 	 	 	 	 (murghun)
29	wide 	veda…	++	వెడల్పైన (veḍalpaina) 	அகலமான (akalamāṉa) 	വീതിയുള്ള (/ʋiːt̪ijuɭɭa/), വണ്ണമുള്ള (/ʋaɳɳamuɭɭa/) 	ಅಗಲ (agala) 	 	 	 	
30	thick 	thick… t̪aʈit͡ʃt͡ʃa ;)	++	మందమైన (maMdamaina), చిక్కని (chikkani) 	தடித்த (thaditha) 	കട്ടിയുള്ള (/kaʈʈijuɭɭa/), തടിച്ച (/t̪aʈit͡ʃt͡ʃa/) 	ದಪ್ಪ (dappa) 	 	 	 	
31	heavy 	bary	++	బరువైన (baruvaina) 	கணம் (kaNam) 	കനത്ത (/kanat̪t̪a/), കനമുള്ള (/kanamuɭɭa/) 	ತೂಕ (tūka) 	 	 	 	
32	small 	cunz, kot͡ʃt͡ʃ ;) ++	++	చిన్న (cinna) 	சின்ன (ciṉṉa) 	ചെറിയ (/t͡ʃerija/), കൊച്ചു (/kot͡ʃt͡ʃu/), കുഞ്ഞു (/kuɲɲu/) 	ಸಣ್ಣ (saNNa), ಚಿಕ್ಕ (chikka) 	 	 	 	 (cunak)
33	short 	petit	++	పొట్టి (poṭṭi) 	குட்டை (kuttai) 	കുറു (/kuru/), കുള്ളൻ (/kuɭɭan/) 	ಗಿಡ್ಡ (giDDa), ಕುಳ್ಳ (kuLLa) 	 	 	 	
34	narrow 			ఇరుకైన (irukaina), సన్నని (sannani) 	குறுகிய (kurugiya) 	ഇടുങ്ങിയ (/iʈuŋŋija/) 	ಸಪುರ (sapura) 	 	 	 	
35	thin 	సన్నని (sannani)	++	సన్నని (sannani), పలుచని (palucani) 	ஒல்லி (olli) 	നേർത്ത (/n̪eːɾt̪t̪a/), മെലിഞ്ഞ (/meliɲɲa/) 	ತೆಳು (teLu) 	 	 	 	 (tanak)
36	woman 		?	ఆడది (āḍadi), స్త్రీ (strī), మహిళ (mahiḷa) 	பெண் (peṇ) 	പെണ്ണു് (/peɳɳɨ̆/), പെണ്‍- (/peɳ-/) 	ಹೆಂಗಸು, ಹೆಣ್ಣು (hengasu) 	ಪೊಣ್ಜವು poṇjavu, ಎಮ್ಮಳು emmaḷu 	ఆర్ ār, వెయ్లెు veylo, వోతాఢ్ vōtāṛ 	ఆణ్డు āṇḍu, మాఈ māī 	مائى māī
37	man (adult male) 	mega.vadu! Ahn!	?+	మగవాడు (magavāḍu), పురుషుడు (puruṣuḍu) 	ஆண் (āṇ) 	ആണ് (/aːɳɨ̆/), ആണ്‍- (/aːɳ-/) 	ಗಂಡಸು, ಆಳು (gaNDasu) 	 	 	 	
