No. 	English	PIE	Hindi	Bengali 	Farsi/Persian	Romani 	PIE 2		Tajik 	Kurdish (Central) 	Mazandarani (Tabari) 	Punjabi[1] 	Urdu 	Nepali 	Gujarati 	Zazaki @ Turk	PIE 3			
43	father 	pedar, pita, bap	✓	बाप/पिता bāp/pitā 	پدر pedar 	বাবা/আব্বা baba/abba 		✓✓	dad 	падар 	bawk 	پییر piyer 	ਬਾਪੂ/ਪਿਉ/ਪਿਤਾ 	باپ bāp 	बुवा,पिता 	Pêr, Pi	pere	✓		
44	animal 	djān’var> anival 	✓!	जानवर jānvar 	جانور jânvar 	জন্তু jontu 	;)		pedo 	ҷонвар 	gyanleber 	جونور junevar 	ਡੰਗਰ/ਪਸ਼ੂ/ਜਾਨਵਰ 	جانور jânvar 	जनावर 	Heywan	Heywan	✓		
45	fish 	marlin! 𓈗 	✓	मछ्ली machlī 	ماهی mâhi 	মাছ mach 	mesh, mvas@𓈗	✓	masho 	моҳӣ 	masî 	مایی mayi 	ਮੱਛੀ 	مچھلی machlī 	माछा 	Mase	mesh, mvishe@mvasser𓈗 	<<<	Mose	
46	bird 	parand~bird	!✓	पक्षी/चिड़िया pakṣī/ciṛiyā 	پرنده parande 	পাখি pakhi 	chirp, tyr	✓	chiriklyi 	парранда 	ballinde, pelewer 	پرنده parende 	ਪੰਛੀ 	پرنده parinda 	चरा 	Theyr	Tier@Sem	✓		
47	dog 	Köter! Cocker Spaniel 	✓ !?	कुत्ता kuttā 	سگ sag 	কুকুর kukur 	khuo+kelef	✓	zhukel 	саг 	seg 	سگ sag 	ਕੁੱਤਾ 	کتا kuttā 	कुकुर 	Kutık	KU … t?	<		
48	louse 		~	जूँ jū̃ 	شپش šepeš 	উঁকুন ukun 			zhuv 	шапиш 	espê 	اِسپیج espij 	ਜੂੰ 	جوں jū̃ 	जुम्रा 	Lıv		~		
49	snake 	serp.on mars𓈖!	✓	साँप sā̃p 	مار mâr 	সাপ shap 	serp.on	✓✓	sap 	мор 	mar 	مَر mar 	ਸੱਪ 	سانپ sā̃p 	सर्प 	mar	Serpend / 𓈗 Mars @ Sumer 	<<		
50	worm 	Kwrumm → kir:red	✓	कीड़ा kīṛā 	کرم kerm 	কৃমি krimi 	! kwrüm!	✓?	kermo 	кирм 	kirm 	کرم kerm 	ਕੀੜਾ 	کیڑا kīṛā 	किरा 	malık	^^ kworm  / Made	^^		
51	tree 		??	पेड़ peṛ 	درخت derakht 	গাছ gach 	গাছ gach ~ giš !!	✓™!	kasht 	дарахт 	dar 	دار dar 	ਰੁੱਖ/ਦਰੱਖ਼ਤ 	پیڑ peṛ 	जुका 	dare	t’ree	✓		
52	forest 	jungle	✓	जंगल/वन jangal/van<বন bôn 	جنگل jangal 	বন bôn 	Baum ~ বন bôn, bush	✓?	vesh 	ҷангал 	lêrr 	جِنگِل jengel 	ਜੰਗਲ 	جنگل jangal 	जङ्गल 	Bır	birk, boreal > forest	✓		
53	stick 	Dan 𓂡	™<<!	डंडा ḍanḍā 	چماق chomågh 	লাঠি laṭhi 	Latte, Knüppel!	✓	kopal 	чомоқ 	gopal 	چماق chomagh 	ਸੋਟੀ 	ڈنڈا ḍanḍā 	लौरो,लठ्ठी 	sopa	Dan:𓂡! Sopa ~ stick	-		
54	fruit 	malve, fallut!!	✓	फल/मेवा phal/mewa 	میوه mive 	ফল phôl 		✓✓	frukto 	мева 	mêwe, mîwe ਫਲ/ਮੇਵਾ 	پھل/میوہ phal/mewa 	फल 	meyve			malve	✓		
55	seed 	biseed, dānā = egg 蛋	✓?	बीज//दाना bīj/dānā 	دانه/تخم tokhm/dâne 	বিচি bici 	samen+^!?	✓	sumburo 	тухм 	tow 	تیم tim 	ਬੀਂ 	بیج//دانہ bīj/dānā 	बिउ,बीज 	toxum	taxum@don	+<??		
56	leaf 	b’att platt Blatt	✓	पत्ती pattī 	برگ barg 	পাতা pata 	blatt = pata ولگ valge 	✓?	patrin 	барг 	ولگ valge 	gella 	ਪੱਤਾ 	پتا patta 	पात 	pelge, pele	pblatt, Pelle, pelvis	+	DE	
57	root 	roithe ریشه riše 	✓	जड़ jaṛ 	ریشه riše 	শিকর shikôr 	rookt	✓~	rikita 	реша 	rîşe 	ریشه rishe 	ਜੜ੍ਹ 	جڑ jaṛ 	जरा 	rıstım	rooth	✓		
58	bark 	kark™	✓	छाल chāl 	پوست درخت pust-e derakht 	ছাল chal 	kork™	✓✓	korca 	пӯсти дарахт 	twêkllî dar 	گلام gelam 	ਸੱਕ/ਛਿੱਲ 	چھال chāl 	बोक्रा, भुक्नु 	-	kar	✓		
