 No. 	English 	Southern Quechua runa simi	Basic PIE / PERU, NOT verbs/adjectives…	++---	Egyptian many variants, often sign value implicit, better see Egyptian.all.tsv!	5-20% PIE creole? Almost random, BUT look numbers!			
67	egg 	runtu	Rand>rund>ant@HIND 	++<	𓎙 𓂧 𓏌 𓏥, 𓎙 𓆓 𓊌 𓏥, 𓂝 𓆓 𓎙 𓏌 𓏥 2.  𓄞 𓂧 𓐏, 𓆓 𓂧 𓂉,  𓆓 𓂧 𓄿 𓄃,  3. 𓈎 𓈖 𓐎  4. 𓄡 𓊪 𓈖 𓃾 …				
68	horn 	waqra	fork wa’qran qhorn	++?	𓏏 𓏥, 𓋴 𓅱 𓎛 𓏏 𓆇 𓐎				
69	tail 	chupa	οὐρά  *copra 	<<	𓄏 𓏤, 𓎛 𓆰 𓈖𓄏, 𓎛 𓆱 𓈖 𓏌 𓏏 2. 𓂧 𓃀 𓄏 , 𓂝 𓃀 𓄏 𓏤				
70	feather 	puru	Pôr @ Indo-Aryan <> fur,pter	+++	1. 𓄜 2. 𓋴 𓂧 𓄢 3. 𓐍 𓃀 𓋴 𓇋 𓇋 𓏏 𓏥 , 𓐍 𓃀 𓊃 𓏏 𓄢  				
71	hair 	chukcha	𓎛𓎛 chuchar	++	𓆄 𓅱 𓏏 𓁸 2. 𓆅 𓏏 𓏤 𓁸				
72	head 	uma	Ommel 	;)	 𓎛, 𓁸𓏥, 𓍲 𓈖 𓏌 𓏲 𓁸, 𓍲 𓈖 𓏮 𓁸 𓏥, 𓃀 𓎡 𓎡 𓁸, 𓃀 𓂓 𓁸 				
73	ear 	rinri	Ohreni 𓇥 𓂋 𓆓 𓄔		𓁶 𓊪, 𓁶 𓏤, 2. 𓁷 𓂋 𓇯 𓀀				
74	eye 	ñawi	Eyna   Nvi <> nvidia navi	+-	1.𓄔 2.𓄕 3.𓂈 𓏤         1. 𓄟 𓋴 𓇥 𓂋 𓄔 2. 𓇋 𓂧 𓄔 3. 𓇥 𓂋 𓆓 𓄔				
75	nose 	sinqa	snoutsa Zinke s-n ~ n-s nose 	+++ ;)	1a. 𓁹 1b. 𓂝 𓈖 𓁹 2. 𓁹 𓏏 𓏮 , 𓅜 𓐍 𓏏 𓁻, 𓋹 𓈖 𓐍 𓏏 𓂀  				
76	mouth 	simi	the.mou’  تم‎ temm  आस् ās/mux मुख 	++?	𓂊, 𓂉 𓏤, 𓈙 𓂋 𓏏 𓂉 𓄹, 𓆑 𓈖 𓂧 𓂉, 𓆑 𓈖 𓆓 𓐩 𓂉  𓂋				
77	tooth 	kiru	𓄑 chorn 	++	1. 𓄑 𓏤, 1b. 𓍿 𓊃 𓏏 𓄑 2. 𓇋 𓃀 𓎛 𓄑 𓏤 3. 𓈖 𓅘 𓎛 𓂧 				
78	tongue (organ) 	qallu	call™ qa? zu.longue	+-<	𓄓, 𓄓 𓄻 𓏤, 𓈖 𓄓 𓋴 𓄻, 𓈖 𓄓 𓋴 𓄻 2. 𓊃 𓈖 𓎡 𓄓, 𓊃 𓈖 𓎡 𓄓 2b. 𓈙 𓋴 𓐟 𓄿 𓅱 𓄓 𓏤 2c. 𓍱 𓊃 𓂋 𓄓				
79	fingernail 	sillu	𒊓𒁺  , 𒋝𒅗𒌅   		𓂝 𓈖 𓏏 𓂷, 𓋁 𓃀 𓌟 𓄹 𓏤	<> Horn?			
80	foot 	chaki			𓃀, 𓂾, 𓂾𓏏𓄹, 2. 𓂋 𓂧 𓂾 ~ 𓅱 𓂝 𓂋 𓏏𓂾 				
81	leg 	chanka	Schenkel	++	𓃀, 𓂾, 𓃛 𓂝 𓄯, 𓃛 𓅱 𓂝 𓅱 𓄯 𓄹				
82	knee 	qunquri	gon.knie	++	𓊪 𓂧 𓂾 𓄹, 2. 𓌳 𓋴 𓏏𓂾 , 𓌳 𓄿 𓊨 𓏏𓂾				
83	hand 	maki	Man.1 𓂠 ma… ≈ 𓂟 manu	k?	𓂝 𓏤, 𓂧 𓏏 𓏤, 𓇥 𓂋 𓏏 𓂧, 𓍑 𓏏 𓂩				
84	wing 	rapra	χrapra 𓂧 𓃀 𓄏 Ptra : feather   𓇥 𓂋 .fur 		𓂧 𓈖 𓎛 𓆃, 𓂧 𓌳 𓏏 𓆃, 𓆓 𓈖 𓎛 𓆃, 𓂧 𓃀 𓄏				
85	belly 	wiksa	Wuchs π.χ  𓄡	;)	𓄡, 𓄡 𓏏 𓏤 , 𓄡 𓂂 𓏏				
86	guts 	chunchul	𓌢 𓈖 kin'cul 𓄡 		𓃀 𓋴 𓎡 𓅱 𓐎, 𓇋 𓋴 𓐎, 𓄿 𓇋 𓋴 𓐎 , 𓄿 𓋴 𓐎 2. 𓄤 𓂋 𓏏, 𓄤				
87	neck 	kunka	𓐍 𓐍 𓄈 knick: k’neck Genick	+++<	𓄈, 2. 𓐍 𓐍 𓄈, 3. 𓄊 𓏏 𓏤 𓄻  4. 𓋭 𓅿  5. 𓃀 𓂝 𓈖 𓏏 𓄻  𓅿  				
